"Player","Pos","Team","Avg","W-1","W-2","W-3","W-4","W-5","W-6","W-7","W-8","W-9","W-10","W-11","W-12","W-13","W-14","W-15","W-16","W-17"
"Michael Pittman Jr.","WR","IND","0.7225","0.527","0.918","","","","","","","","","","","","","","",""
"Brandon Aiyuk","WR","SF","0.721","","0.721","","","","","","","","","","","","","","",""
"Josh Jacobs","RB","LVR","0.7205","0.778","0.663","","","","","","","","","","","","","","",""
"Hayden Hurst","TE","ATL","0.719","0.785","0.653","","","","","","","","","","","","","","",""
"Jalen Reagor","WR","PHI","0.7165","0.588","0.845","","","","","","","","","","","","","","",""
"Zach Pascal","WR","IND","0.715","0.622","0.808","","","","","","","","","","","","","","",""
"Odell Beckham","WR","CLE","0.7125","0.753","0.672","","","","","","","","","","","","","","",""
"Melvin Gordon","RB","DEN","0.7095","0.627","0.792","","","","","","","","","","","","","","",""
"Davante Adams","WR","GB","0.709","0.897","0.521","","","","","","","","","","","","","","",""
"Miles Boykin","WR","BAL","0.708","0.678","0.738","","","","","","","","","","","","","","",""
"Jimmy Graham","TE","CHI","0.7075","0.8","0.615","","","","","","","","","","","","","","",""
"Olabisi Johnson","WR","MIN","0.7065","0.635","0.778","","","","","","","","","","","","","","",""
"Eric Ebron","TE","PIT","0.697","0.625","0.769","","","","","","","","","","","","","","",""
"Dalton Schultz","TE","DAL","0.6945","0.694","0.695","","","","","","","","","","","","","","",""
"Isaiah Ford","WR","MIA","0.691","0.742","0.64","","","","","","","","","","","","","","",""
"Sammy Watkins","WR","KC","0.6905","0.797","0.584","","","","","","","","","","","","","","",""
"Christian Kirk","WR","ARI","0.689","0.768","0.61","","","","","","","","","","","","","","",""
"Greg Olsen","TE","SEA","0.6875","0.661","0.714","","","","","","","","","","","","","","",""
"Dalvin Cook","RB","MIN","0.6865","0.577","0.796","","","","","","","","","","","","","","",""
"T.Y. Hilton","WR","IND","0.686","0.797","0.575","","","","","","","","","","","","","","",""
"Bryan Edwards","WR","LVR","0.6795","0.746","0.613","","","","","","","","","","","","","","",""
"Kenyan Drake","RB","ARI","0.678","0.707","0.649","","","","","","","","","","","","","","",""
"Alvin Kamara","RB","NO","0.6725","0.662","0.683","","","","","","","","","","","","","","",""
"Keelan Cole","WR","JAC","0.67","0.66","0.68","","","","","","","","","","","","","","",""
"T.J. Hockenson","TE","DET","0.668","0.641","0.695","","","","","","","","","","","","","","",""
"DeSean Jackson","WR","PHI","0.6595","0.544","0.775","","","","","","","","","","","","","","",""
"Kyle Rudolph","TE","MIN","0.6595","0.615","0.704","","","","","","","","","","","","","","",""
"Jerry Jeudy","WR","DEN","0.6585","0.746","0.571","","","","","","","","","","","","","","",""
"Jarvis Landry","WR","CLE","0.6575","0.712","0.603","","","","","","","","","","","","","","",""
"Austin Ekeler","RB","LAC","0.656","0.746","0.566","","","","","","","","","","","","","","",""
"Breshad Perriman","WR","NYJ","0.654","1","0.308","","","","","","","","","","","","","","",""
"Cole Beasley","WR","BUF","0.652","0.632","0.672","","","","","","","","","","","","","","",""
"Marquise Brown","WR","BAL","0.652","0.627","0.677","","","","","","","","","","","","","","",""
"Tee Higgins","WR","CIN","0.652","","0.652","","","","","","","","","","","","","","",""
"Scott Miller","WR","TB","0.6515","0.614","0.689","","","","","","","","","","","","","","",""
"Julian Edelman","WR","NE","0.65","0.578","0.722","","","","","","","","","","","","","","",""
"Jared Cook","TE","NO","0.6485","0.647","0.65","","","","","","","","","","","","","","",""
"Mark Andrews","TE","BAL","0.6485","0.712","0.585","","","","","","","","","","","","","","",""
"Willie Snead","WR","BAL","0.646","0.661","0.631","","","","","","","","","","","","","","",""
"Clyde Edwards-Helaire","RB","KC","0.645","0.667","0.623","","","","","","","","","","","","","","",""
"A.J. Green","WR","CIN","0.641","0.662","0.62","","","","","","","","","","","","","","",""
"Myles Gaskin","RB","MIA","0.641","0.629","0.653","","","","","","","","","","","","","","",""
"Henry Ruggs III","WR","LVR","0.64","0.667","0.613","","","","","","","","","","","","","","",""
"Dan Arnold","WR","ARI","0.638","0.549","0.727","","","","","","","","","","","","","","",""
"Mike Gesicki","TE","MIA","0.6365","0.726","0.547","","","","","","","","","","","","","","",""
"Emmanuel Sanders","WR","NO","0.634","0.485","0.783","","","","","","","","","","","","","","",""
"DeVante Parker","WR","MIA","0.6255","0.371","0.88","","","","","","","","","","","","","","",""
"KJ Hamler","WR","DEN","0.623","","0.623","","","","","","","","","","","","","","",""
"Irv Smith Jr.","TE","MIN","0.622","0.596","0.648","","","","","","","","","","","","","","",""
"DaeSean Hamilton","WR","DEN","0.6195","0.797","0.442","","","","","","","","","","","","","","",""
"C.J. Uzomah","TE","CIN","0.616","0.721","0.511","","","","","","","","","","","","","","",""
"Jalen Guyton","WR","LAC","0.6155","0.701","0.53","","","","","","","","","","","","","","",""
"Golden Tate","WR","NYG","0.615","","0.615","","","","","","","","","","","","","","",""
"Justin Jefferson","WR","MIN","0.6145","0.692","0.537","","","","","","","","","","","","","","",""
"Robert Tonyan","TE","GB","0.609","0.615","0.603","","","","","","","","","","","","","","",""
"Ian Thomas","TE","CAR","0.6025","0.657","0.548","","","","","","","","","","","","","","",""
"Dontrelle Inman","WR","WAS","0.598","0.514","0.682","","","","","","","","","","","","","","",""
"Laviska Shenault Jr.","WR","JAC","0.5965","0.62","0.573","","","","","","","","","","","","","","",""
"James Robinson","RB","JAC","0.5935","0.68","0.507","","","","","","","","","","","","","","",""
"Marquez Valdes-Scantling","WR","GB","0.584","0.538","0.63","","","","","","","","","","","","","","",""
"Tyler Eifert","TE","JAC","0.58","0.56","0.6","","","","","","","","","","","","","","",""
"Vance McDonald","TE","PIT","0.574","0.594","0.554","","","","","","","","","","","","","","",""
"Devin Singletary","RB","BUF","0.5715","0.586","0.557","","","","","","","","","","","","","","",""
"Le'Veon Bell","RB","NYJ","0.571","0.571","","","","","","","","","","","","","","","",""
"John Ross","WR","CIN","0.571","0.838","0.304","","","","","","","","","","","","","","",""
"Malcolm Brown","RB","LAR","0.5695","0.603","0.536","","","","","","","","","","","","","","",""
"KhaDarel Hodge","WR","CLE","0.5585","0.548","0.569","","","","","","","","","","","","","","",""
"Josh Reynolds","WR","LAR","0.558","0.507","0.609","","","","","","","","","","","","","","",""
"Cameron Batson","WR","TEN","0.557","","0.557","","","","","","","","","","","","","","",""
"Danny Amendola","WR","DET","0.555","0.551","0.559","","","","","","","","","","","","","","",""
"Demarcus Robinson","WR","KC","0.5505","0.478","0.623","","","","","","","","","","","","","","",""
"Adam Humphries","WR","TEN","0.55","0.543","0.557","","","","","","","","","","","","","","",""
"Nick Chubb","RB","CLE","0.55","0.479","0.621","","","","","","","","","","","","","","",""
"Todd Gurley","RB","ATL","0.548","0.456","0.64","","","","","","","","","","","","","","",""
"Joe Mixon","RB","CIN","0.544","0.588","0.5","","","","","","","","","","","","","","",""
"Chris Carson","RB","SEA","0.5435","0.452","0.635","","","","","","","","","","","","","","",""
"O.J. Howard","TE","TB","0.543","0.529","0.557","","","","","","","","","","","","","","",""
"Mo Alie-Cox","TE","IND","0.5315","0.392","0.671","","","","","","","","","","","","","","",""
"Kyle Juszczyk","RB","SF","0.528","0.581","0.475","","","","","","","","","","","","","","",""
"James Washington","WR","PIT","0.5275","0.578","0.477","","","","","","","","","","","","","","",""
"Maxx Williams","TE","ARI","0.524","0.524","","","","","","","","","","","","","","","",""
"Justin Watson","WR","TB","0.521","0.157","0.885","","","","","","","","","","","","","","",""
"David Moore","WR","SEA","0.52","0.532","0.508","","","","","","","","","","","","","","",""
"Chris Manhertz","TE","CAR","0.515","0.537","0.493","","","","","","","","","","","","","","",""
"Jonathan Taylor","RB","IND","0.511","0.351","0.671","","","","","","","","","","","","","","",""
"Aaron Jones","RB","GB","0.5085","0.538","0.479","","","","","","","","","","","","","","",""
"Sterling Shepard","WR","NYG","0.505","0.779","0.231","","","","","","","","","","","","","","",""
"Jesse James","TE","DET","0.504","0.5","0.508","","","","","","","","","","","","","","",""
"Dawson Knox","TE","BUF","0.5025","0.644","0.361","","","","","","","","","","","","","","",""
"Rex Burkhead","RB","NE","0.5025","0.297","0.708","","","","","","","","","","","","","","",""
"James Conner","RB","PIT","0.5015","0.234","0.769","","","","","","","","","","","","","","",""
