Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Allen Robinson,CHI,WR,2014,1,28,28,32,65,241,53,81.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,9,32.1%,1,33%,27,1.2,33,3.7,9.6,0,0.0%,1.18,86,35.7%,0.73,0.38,0,6.3,-7.8,72
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Alvin Kamara,NO,RB,2017,1,37,38,35,60,196,41,68.3%,62.9%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,13,79,2,15.4%,9,1,40.9%,2,0,9,9,24.3%,2,100%,20,4.8,95,10.6,0.1,0,0.0%,2.50,1,0.5%,0.37,95.00,94,38.4,13.1,2
Amari Cooper,DAL,WR,2015,1,46,49,34,82,368,75,91.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,9,19.6%,0,67%,46,2.2,100,11.1,13.3,0,0.0%,2.04,120,32.6%,0.52,0.83,33,16.0,2.4,22
Andy Isabella,ARI,WR,2019,1,33,38,30,77,351,14,18.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,6.1%,0,100%,10,6.7,67,33.5,29.0,0,0.0%,1.76,58,16.5%,0.21,1.16,9,8.7,5.5,52
Anthony Firkser,TEN,TE,2017,1,24,24,32,62,191,14,22.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,25.0%,0,83%,9,5.0,45,7.5,6.8,0,0.0%,1.88,41,21.5%,0.53,1.10,4,9.5,2.0,20
Anthony McFarland,PIT,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Anthony Miller,CHI,WR,2018,1,28,28,32,65,241,26,40.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,3,10.7%,1,0%,17,0.0,0,0.0,12.7,0,-,0.00,38,15.8%,0.27,0.00,0,0.0,-5.0,120
Antonio Gandy-Golden,WAS,WR,2020,1,33,33,24,66,283,5,7.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,3.0%,0,100%,3,1.0,3,3.0,2.0,0,0.0%,0.09,2,0.7%,0.05,1.50,1,1.3,-0.2,111
Antonio Gibson,WAS,RB,2020,1,33,33,24,66,283,43,65.2%,62.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,13,55,1,7.7%,0,0,0.0%,0,0,1,2,6.1%,0,50%,-8,0.4,-3,-1.5,4.5,0,0.0%,-0.09,9,3.2%,0.11,-0.33,1,12.2,0.0,28
Auden Tate,CIN,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Austin Ekeler,LAC,RB,2017,1,31,33,47,83,283,47,56.6%,42.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,16,93,0,0.0%,13,0,65.0%,0,0,4,4,12.9%,1,100%,19,2.9,55,13.8,2.8,0,0.0%,1.67,11,3.9%,0.22,5.00,44,18.8,5.3,14
Austin Hooper,CLE,TE,2016,1,21,23,35,58,210,57,98.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,4,19.0%,1,50%,19,1.2,22,5.5,3.8,0,0.0%,0.96,15,7.1%,0.34,1.47,7,4.2,-4.3,28
Baker Mayfield,CLE,QB,2018,1,21,23,35,58,210,58,100.0%,-,16,23,219,2,1,69.6%,8.7%,9.5,9.3,210,146,9.1,110.6,12.61,3,6,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,15.4,1.7,20
Ben Roethlisberger,PIT,QB,2004,1,41,41,24,65,233,65,100.0%,-,29,41,311,2,1,70.7%,4.9%,7.6,7.5,233,143,5.7,98.7,0.05,3,-2,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,18.2,3.1,16
Benny Snell,PIT,RB,2019,1,41,41,24,65,233,10,15.4%,16.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,5,0,0.0%,0,0,0.0%,0,0,1,1,2.4%,0,100%,5,-0.8,-4,-4.0,-8.0,0,0.0%,-0.10,-8,-3.4%,0.01,0.50,4,1.1,-1.5,78
Blake Jarwin,DAL,TE,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Boston Scott,PHI,RB,2018,1,41,43,33,71,281,13,18.3%,21.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,19,0,0.0%,1,0,14.3%,0,0,3,3,7.3%,0,100%,9,2.7,24,8.0,-1.3,0,0.0%,0.56,-4,-1.4%,0.10,-6.00,28,7.3,-0.1,40
Brandin Cooks,HOU,WR,2014,1,34,36,16,59,283,53,89.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,8,23.5%,1,63%,36,2.6,95,11.9,15.5,0,0.0%,2.64,124,43.8%,0.66,0.77,14,14.5,1.1,27
Brandon Aiyuk,SF,WR,2020,1,27,27,34,61,134,44,72.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,3,11.1%,0,67%,22,1.0,21,7.0,-2.0,0,0.0%,0.78,-6,-4.5%,0.14,-3.50,22,4.1,-0.3,93
Breshad Perriman,NYJ,WR,2015,1,32,32,31,65,140,20,30.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,6.3%,0,100%,10,1.2,12,6.0,2.5,0,0.0%,0.38,5,3.6%,0.12,2.40,7,3.2,0.5,99
Brian Hill,ATL,RB,2017,1,36,37,33,75,377,15,20.0%,15.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,14,0,0.0%,1,0,20.0%,0,0,2,2,5.6%,0,100%,9,1.2,11,5.5,-1.0,0,0.0%,0.30,-2,-0.5%,0.08,-5.50,13,4.5,0.0,54
Bryan Edwards,LV,WR,2020,1,34,38,38,80,265,49,61.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,5.9%,0,100%,20,2.1,42,21.0,11.5,0,0.0%,1.11,23,8.7%,0.15,1.83,29,6.2,3.1,76
Calvin Ridley,ATL,WR,2018,1,36,37,33,75,377,63,84.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,7,10,27.8%,2,70%,34,3.2,109,10.9,17.0,2,28.6%,2.95,170,45.1%,0.73,0.64,14,29.9,8.8,1
Cam Akers,LAR,RB,2020,1,26,27,35,69,221,3,4.3%,8.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,13,0,0.0%,1,0,33.3%,0,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,1.3,-0.2,77
Cam Newton,NE,QB,2011,1,43,44,23,72,351,72,100.0%,-,30,44,397,1,1,68.2%,2.3%,9.0,8.5,351,147,8.0,94.6,1.92,11,47,2,18.2%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,34.6,0.0,2
Cameron Batson,TEN,WR,2018,1,24,24,32,62,191,34,54.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,8.3%,0,100%,13,2.0,26,13.0,12.0,0,0.0%,1.08,24,12.6%,0.21,1.08,2,4.6,1.9,89
Carlos Hyde,SEA,RB,2014,1,25,28,30,63,134,15,23.8%,23.3%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,22,0,0.0%,1,0,14.3%,0,0,2,2,8.0%,0,100%,8,1.9,15,7.5,-4.5,0,0.0%,0.54,-9,-6.7%,0.07,-1.67,24,5.7,0.9,49
Carson Wentz,PHI,QB,2016,1,41,43,33,71,281,71,100.0%,-,26,43,242,0,2,60.5%,0.0%,5.6,3.5,281,131,6.5,56.5,-6.87,2,7,1,50.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,12.4,-8.5,25
Cedrick Wilson,DAL,WR,2018,1,46,49,34,82,368,4,4.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,
CeeDee Lamb,DAL,WR,2020,1,46,49,34,82,368,68,82.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,9,0,0.0%,-,-,-,-,0,6,9,19.6%,1,67%,40,2.7,106,11.8,7.1,0,0.0%,2.16,64,17.4%,0.42,1.66,59,17.5,1.9,17
Chase Claypool,PIT,WR,2020,1,41,41,24,65,233,24,36.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,7.3%,0,100%,12,7.3,88,29.3,13.7,1,33.3%,2.15,41,17.6%,0.23,2.15,47,17.8,12.9,15
Chase Edmonds,ARI,RB,2018,1,33,38,30,77,351,27,35.1%,23.3%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,4,0,0.0%,0,0,0.0%,0,0,3,4,12.1%,0,75%,20,0.5,9,2.3,5.3,0,0.0%,0.24,21,6.0%,0.22,0.43,15,4.3,-2.9,56
Chris Carson,SEA,RB,2017,1,25,28,30,63,258,40,63.5%,66.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,17,72,0,0.0%,3,0,15.0%,0,0,3,3,12.0%,1,100%,15,2.4,36,12.0,6.0,1,33.3%,1.29,18,7.0%,0.23,2.00,18,19.8,6.4,12
Chris Conley,JAC,WR,2015,1,44,45,31,75,393,34,45.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,7,15.9%,2,57%,19,2.5,48,6.9,8.3,0,0.0%,1.07,58,14.8%,0.34,0.83,32,8.8,-3.7,50
Chris Godwin,TB,WR,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Chris Herndon,NYJ,TE,2018,1,32,32,31,65,140,48,73.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,4,12.5%,1,25%,21,0.2,5,1.3,4.0,0,0.0%,0.16,16,11.4%,0.27,0.31,8,1.5,-6.2,37
Chris Hogan,NYJ,WR,2011,1,32,32,31,65,140,59,90.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,8,25.0%,0,75%,28,2.7,75,9.4,6.8,0,0.0%,2.34,54,38.6%,0.65,1.39,30,13.5,0.9,30
Chris Thompson,JAC,RB,2013,1,44,45,31,75,393,31,41.3%,19.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,0.0%,0,0,0.0%,0,0,3,4,9.1%,2,75%,27,0.7,20,5.0,4.8,1,33.3%,0.44,19,4.8%,0.17,1.05,5,11.7,3.4,30
Christian Kirk,ARI,WR,2018,1,33,38,30,77,351,47,61.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0.0%,-,-,-,-,0,2,4,12.1%,0,50%,30,1.9,57,14.3,27.5,0,0.0%,1.50,110,31.3%,0.40,0.52,1,8.0,1.4,57
Christian McCaffrey,CAR,RB,2017,1,40,42,37,73,309,47,64.4%,62.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,18,59,2,11.1%,6,0,27.3%,1,0,4,5,12.5%,0,80%,20,1.5,29,5.8,0.2,0,0.0%,0.69,1,0.3%,0.19,29.00,28,24.8,2.6,5
CJ Board,NYG,WR,2017,1,36,40,20,65,254,11,16.9%,15.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,8.3%,0,100%,7,4.6,32,10.7,7.7,0,0.0%,0.80,23,9.1%,0.19,1.39,9,6.2,1.6,75
CJ Uzomah,CIN,TE,2015,1,59,61,28,92,486,47,51.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,6,10.2%,1,67%,33,1.3,42,7.0,8.0,1,25.0%,0.69,48,9.9%,0.22,0.88,8,14.2,2.5,12
Clyde Edwards-Helaire,KC,RB,2020,1,45,47,24,77,245,48,62.3%,75.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,38,0,0.0%,4,1,25.0%,0,0,6,8,17.8%,0,75%,23,1.4,32,4.0,0.4,0,0.0%,0.68,3,1.2%,0.28,10.67,25,13.0,-2.3,26
Cole Beasley,BUF,WR,2012,1,35,35,22,61,380,41,67.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,17.1%,2,83%,28,2.5,70,11.7,8.2,0,0.0%,2.00,49,12.9%,0.35,1.43,23,12.0,1.8,37
Cole Kmet,CHI,TE,2020,1,28,28,32,65,241,22,33.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,3.6%,0,100%,4,3.0,12,12.0,12.0,0,0.0%,0.43,12,5.0%,0.09,1.00,0,2.2,0.3,34
Collin Johnson,JAC,WR,2020,1,44,45,31,75,393,8,10.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,3,6.8%,1,0%,6,0.0,0,0.0,11.3,0,-,0.00,34,8.7%,0.16,0.00,0,0.0,-5.0,117
Cooper Kupp,LAR,WR,2017,1,26,27,35,69,221,59,85.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,19,0,0.0%,-,-,-,-,0,5,6,23.1%,0,83%,24,3.4,81,13.5,4.3,0,0.0%,3.00,26,11.8%,0.43,3.12,55,15.0,4.6,25
Cordarrelle Patterson,CHI,WR,2013,1,28,28,32,65,241,14,21.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,25,0,0.0%,-,-,-,-,0,2,2,7.1%,0,100%,0,-,8,4.0,-2.5,0,0.0%,0.29,-5,-2.1%,0.09,-1.60,13,5.3,-4.6,85
Corey Clement,PHI,RB,2017,1,41,43,33,71,281,3,4.2%,0.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,82
Corey Davis,TEN,WR,2017,1,24,24,32,62,191,50,80.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,5,20.8%,1,60%,24,1.5,36,7.2,8.4,1,33.3%,1.50,42,22.0%,0.47,0.86,15,12.6,2.5,34
Courtland Sutton,DEN,WR,2018,1,38,38,27,77,515,31,40.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,6,15.8%,0,50%,15,4.4,66,11.0,17.7,0,0.0%,1.74,106,20.6%,0.38,0.62,7,9.6,0.6,47
Curtis Samuel,CAR,WR,2017,1,40,42,37,73,309,51,69.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,26,0,0.0%,-,-,-,-,0,2,2,5.0%,0,100%,30,0.4,13,6.5,4.5,0,0.0%,0.31,9,2.9%,0.10,1.44,4,5.9,-0.3,79
D'Andre Swift,DET,RB,2020,1,30,33,27,59,219,20,33.9%,37.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,12,0,0.0%,0,0,0.0%,0,0,5,5,16.7%,0,100%,14,4.3,60,12.0,2.4,0,0.0%,1.82,12,5.5%,0.29,5.00,48,12.2,1.4,29
DaeSean Hamilton,DEN,WR,2018,1,38,38,27,77,515,34,44.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,3,7.9%,0,33%,16,0.3,5,1.7,2.3,0,0.0%,0.13,7,1.4%,0.13,0.71,1,1.5,-3.4,109
Dak Prescott,DAL,QB,2016,1,46,49,34,82,368,80,97.6%,-,34,47,450,1,0,72.3%,2.1%,9.6,10.0,368,148,7.8,109.4,3.91,5,18,3,60.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,41.8,13.0,1
Dallas Goedert,PHI,TE,2018,1,41,43,33,71,281,63,88.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,8,19.5%,1,50%,36,0.8,30,3.8,8.0,0,0.0%,0.70,64,22.8%,0.45,0.47,10,7.0,-5.3,25
Dalton Schultz,DAL,TE,2018,1,46,49,34,82,368,57,69.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,1,9,10,21.7%,2,90%,36,2.4,88,8.8,4.4,1,11.1%,1.80,44,12.0%,0.41,2.00,50,21.8,4.2,7
Dalvin Cook,MIN,RB,2017,1,23,26,22,54,319,43,79.6%,72.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,63,1,7.1%,6,1,37.5%,1,0,2,2,8.7%,0,100%,22,0.4,8,4.0,-2.0,0,0.0%,0.31,-4,-1.3%,0.12,-2.00,12,17.1,4.0,16
Damiere Byrd,NE,WR,2016,1,43,44,23,72,351,62,86.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,9,20.9%,0,67%,42,1.7,72,8.0,10.3,0,0.0%,1.64,93,26.5%,0.50,0.77,6,13.2,-0.1,31
Dan Arnold,ARI,TE,2017,1,33,38,30,77,351,56,72.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,4,12.1%,0,50%,32,0.8,26,6.5,13.5,0,0.0%,0.68,54,15.4%,0.29,0.48,12,4.6,-1.0,27
Daniel Jones,NYG,QB,2019,1,36,40,20,65,254,65,100.0%,-,25,40,241,0,1,62.5%,0.0%,6.0,4.9,254,166,6.4,68.9,-0.60,3,21,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,9.7,-11.2,31
Danny Amendola,DET,WR,2008,1,30,33,27,59,219,33,55.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,7,23.3%,0,29%,19,1.1,21,3.0,11.3,0,0.0%,0.64,79,36.1%,0.60,0.27,6,4.1,-7.0,92
Dante Pettis,SF,WR,2018,1,27,27,34,61,134,10,16.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,3,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,118
Darius Slayton,NYG,WR,2019,1,36,40,20,65,254,58,89.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,6,16.7%,1,50%,40,0.8,33,5.5,11.8,0,0.0%,0.83,71,28.0%,0.45,0.46,-5,6.3,-3.4,73
Darnell Mooney,CHI,WR,2020,1,28,28,32,65,241,39,60.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,10.7%,1,100%,21,1.7,36,12.0,11.0,1,33.3%,1.29,33,13.7%,0.26,1.09,3,12.6,7.9,33
Darrel Williams,KC,RB,2018,1,45,47,24,77,245,10,13.0%,4.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,0.0%,0,0,1,1,2.2%,0,100%,1,12.0,12,12.0,2.0,0,0.0%,0.26,2,0.8%,0.04,6.00,10,2.2,0.8,65
Darrell Henderson,LAR,RB,2019,1,26,27,35,69,221,29,42.0%,42.9%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,12,81,0,0.0%,3,1,21.4%,1,0,2,3,11.5%,1,67%,9,4.4,40,13.3,9.7,0,0.0%,1.48,29,13.1%,0.26,1.38,23,14.1,7.0,22
Darren Fells,HOU,TE,2013,1,34,36,16,59,283,24,40.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,4,11.8%,1,50%,11,2.1,23,5.8,7.8,1,50.0%,0.64,31,11.0%,0.25,0.74,9,10.3,2.8,18
Darren Waller,LV,TE,2015,1,34,38,38,80,265,74,92.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,12,16,47.1%,2,75%,27,3.8,103,6.4,6.6,1,8.3%,2.71,105,39.6%,0.98,0.98,52,28.3,-1.8,2
Darrynton Evans,TEN,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Darwin Thompson,KC,RB,2019,1,45,47,24,77,245,15,19.5%,20.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,21,0,0.0%,0,0,0.0%,0,0,0,1,2.2%,0,0%,5,0.0,0,0.0,-6.0,0,-,0.00,-6,-2.4%,0.02,0.00,0,2.1,-1.1,66
Davante Adams,GB,WR,2014,1,30,30,41,73,277,35,47.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,10.0%,0,100%,20,1.8,36,12.0,7.0,0,0.0%,1.20,21,7.6%,0.20,1.71,15,6.6,1.7,69
David Johnson,HOU,RB,2015,1,34,36,16,59,283,56,94.9%,93.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,11,34,0,0.0%,4,0,30.8%,0,0,2,4,11.8%,1,50%,30,0.5,16,4.0,9.8,0,0.0%,0.44,39,13.8%,0.27,0.41,16,7.0,-4.5,43
David Montgomery,CHI,RB,2019,1,28,28,32,65,241,35,53.8%,59.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,16,82,0,0.0%,8,1,42.1%,0,0,3,3,10.7%,0,100%,15,3.0,45,15.0,4.3,1,33.3%,1.61,13,5.4%,0.20,3.46,32,21.7,9.2,8
David Moore,SEA,WR,2017,1,25,28,30,63,258,32,50.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,12.0%,1,100%,12,4.0,48,16.0,12.7,1,33.3%,1.71,38,14.7%,0.28,1.26,10,13.8,7.6,28
