Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,1,30,30,41,73,277,35,47.9%,63.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,18,168,2,11.1%,6,1,27.3%,0,0,4,8,26.7%,2,50%,13,5.2,68,8.5,7.6,1,25.0%,2.27,61,22.0%,0.55,1.11,35,45.6,24.2,1
Aaron Rodgers,GB,QB,2005,1,30,30,41,73,277,35,47.9%,-,18,30,240,2,0,60.0%,6.7%,8.0,9.3,277,140,9.2,107.6,-3.41,2,12,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,18.8,5.8,15
Adam Humphries,TEN,WR,2015,1,24,24,32,62,191,34,54.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,25.0%,1,83%,18,2.7,48,8.0,8.5,1,20.0%,2.00,51,26.7%,0.56,0.94,16,15.8,4.8,23
Adam Thielen,MIN,WR,2013,1,23,26,22,54,319,48,88.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,8,34.8%,0,38%,27,1.1,31,3.9,18.3,0,0.0%,1.19,146,45.8%,0.84,0.21,0,6.1,-5.9,77
Adrian Peterson,DET,RB,2007,1,30,33,27,59,219,15,25.4%,25.9%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,41,0,0.0%,2,1,28.6%,0,0,0,0,0.0%,0,-,4,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,4.1,1.1,57
AJ Brown,TEN,WR,2019,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
AJ Dillon,GB,RB,2020,1,30,30,41,73,277,7,9.6%,12.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,17,0,0.0%,3,0,60.0%,0,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,1.7,-0.8,72
AJ Green,CIN,WR,2011,1,59,61,28,92,486,57,62.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,13,22.0%,2,23%,45,0.6,29,2.2,15.8,0,0.0%,0.48,206,42.4%,0.63,0.14,1,5.9,-16.0,78
Alexander Mattison,MIN,RB,2019,1,23,26,22,54,319,10,18.5%,22.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,13,0,0.0%,1,0,25.0%,0,0,1,2,8.7%,0,50%,4,0.8,3,1.5,1.0,0,0.0%,0.12,2,0.6%,0.13,1.50,0,2.6,-2.0,64
Allen Lazard,GB,WR,2018,1,30,30,41,73,277,61,83.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,5,16.7%,0,60%,24,1.9,45,9.0,12.4,0,0.0%,1.50,62,22.4%,0.41,0.73,24,7.5,-0.2,63
