Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Andy Isabella,ARI,WR,2019,1,22,24,29,62,240,19,30.6%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,2,9.10%,0,0%,0,-,0,-,0.0,43.0,0,-,0.00,86,35.80%,0.39,0.00,0,0,0,0,0.00,0.0,-3.0,87
Anthony Firkser,TEN,TE,2017,1,41,41,36,75,307,41,54.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,8,9,22.00%,0,89%,0,-,113,14.1,12.6,7.3,1,12.50%,2.76,66,21.50%,0.48,1.71,50,8,113,1,1.51,25.3,9.6,1
Anthony McFarland,PIT,RB,2020,1,23,23,34,65,173,10,15.4%,11.8%,3.3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,2,0,0.00%,0.7,0,0,0.00%,0,0,1,1,4.30%,0,100%,0,-,6,6.0,6.0,-1.0,0,0.00%,0.26,-1,-0.60%,0.06,-6.00,7,4,8,0,0.12,1.8,-1.2,56
Anthony Miller,CHI,WR,2018,1,36,39,24,66,240,44,66.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,3,8.30%,0,100%,0,-,8,2.7,2.7,-2.0,0,0.00%,0.21,-6,-2.50%,0.11,-1.33,14,3,8,0,0.12,3.8,-0.9,67
Antonio Gandy-Golden,WAS,WR,2020,1,40,42,34,73,257,7,9.6%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,1,2.50%,0,0%,0,-,0,-,0.0,7.0,0,-,0.00,7,2.70%,0.06,0.00,0,0,0,0,0.00,0.0,-1.8,88
Antonio Gibson,WAS,RB,2020,1,40,42,34,73,257,27,37.0%,41.2%,13.2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,30,0,0.00%,3.3,0,0,0.00%,0,0,4,5,12.50%,0,80%,0,-,25,6.3,5.0,-0.6,0,0.00%,0.60,-3,-1.20%,0.18,-8.33,27,13,55,0,0.75,9.5,-1.9,26
Auden Tate,CIN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Austin Ekeler,LAC,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Austin Hooper,CLE,TE,2016,1,27,28,25,57,117,40,70.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,6,22.20%,0,83%,0,-,52,10.4,8.7,3.3,0,0.00%,1.86,20,17.10%,0.45,2.60,39,5,52,0,0.91,10.2,0.9,8
Baker Mayfield,CLE,QB,2018,1,27,28,25,57,117,42,73.7%,-,-,10,18,119,1,2,55.60%,5.60%,6.6,2.7,117,61,6.5,54.9,-13.00,1,5,0,0.00%,5.0,-,-,-,-,0,0,0,0.00%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,1,5,0,0.09,5.3,-1.0,26
Ben Roethlisberger,PIT,QB,2004,1,23,23,34,65,173,65,100.0%,-,-,14,22,162,1,0,63.60%,4.50%,7.4,8.3,173,98,7.9,101.0,-2.60,3,5,0,0.00%,1.7,-,-,-,-,0,0,0,0.00%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,3,5,0,0.08,11.0,2.0,23
Benny Snell,PIT,RB,2019,1,23,23,34,65,173,14,21.5%,20.6%,5.1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,17,1,16.70%,2.8,0,0,0.00%,0,0,1,1,4.30%,0,100%,0,-,4,4.0,4.0,-7.0,0,0.00%,0.17,-7,-4.00%,0.04,-0.57,11,7,21,1,0.32,9.1,0.8,28
