Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Ben Roethlisberger,PIT,QB,2004,1,31,32,33,64,221,64,100.0%,-,21,32,229,3,0,65.6%,9.4%,7.2,9.0,221,124,6.9,117.8,-7.91,3,9,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,22.1,8.2,9
Benny Snell,PIT,RB,2019,1,31,32,33,64,221,29,45.3%,60.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,19,113,0,0.0%,4,2,20.0%,0,0,0,1,3.2%,0,0%,7,0.0,0,0.0,-2.0,0,-,0.00,-2,-0.9%,0.04,0.00,0,11.3,0.9,29
Blake Jarwin,DAL,TE,2017,1,37,39,31,72,283,25,34.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,2.7%,0,100%,17,0.7,12,12.0,12.0,0,0.0%,0.31,12,4.2%,0.07,1.00,0,2.2,1.4,39
Boston Scott,PHI,RB,2018,1,42,42,20,68,520,38,55.9%,55.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,35,0,0.0%,2,0,18.2%,0,0,2,2,4.8%,0,100%,24,0.8,19,9.5,-3.0,0,0.0%,0.45,-6,-1.2%,0.06,-3.17,25,7.4,-0.5,43
Brandin Cooks,HOU,WR,2014,1,31,32,21,59,283,31,52.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,5,16.1%,0,40%,17,1.2,20,4.0,9.2,0,0.0%,0.63,46,16.3%,0.36,0.43,17,4.0,-4.1,87
Brandon Aiyuk,SF,WR,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Breshad Perriman,NYJ,WR,2015,1,33,35,19,56,265,56,100.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,5,15.2%,0,60%,39,0.4,17,3.4,7.4,0,0.0%,0.49,37,14.0%,0.33,0.46,10,4.7,-2.7,78
Brian Hill,ATL,RB,2017,1,52,54,30,79,407,21,26.6%,16.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,12,0,0.0%,0,0,0.0%,0,0,2,2,3.8%,0,100%,13,0.6,8,4.0,3.5,0,0.0%,0.15,7,1.7%,0.07,1.14,1,4.0,-0.1,60
Bryan Edwards,LV,WR,2020,1,28,30,41,63,182,47,74.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,3.6%,0,100%,20,0.5,9,9.0,-1.0,0,0.0%,0.30,-1,-0.5%,0.05,-9.00,10,1.9,0.3,103
Calvin Ridley,ATL,WR,2018,1,52,54,30,79,407,68,86.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-1,0,0.0%,-,-,-,-,0,9,12,23.1%,3,75%,49,2.7,130,10.8,3.4,2,22.2%,2.41,41,10.1%,0.42,3.17,121,33.9,12.7,2
Cam Akers,LAR,RB,2020,1,28,31,41,73,140,24,32.9%,36.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,39,0,0.0%,3,0,20.0%,0,0,1,1,3.6%,0,100%,10,0.4,4,4.0,1.0,0,0.0%,0.13,1,0.7%,0.06,4.00,3,5.3,-3.4,53
Cam Newton,NE,QB,2011,1,19,19,31,64,101,64,100.0%,-,15,19,155,0,0,78.9%,0.0%,8.2,8.2,101,67,5.3,100.7,-7.21,15,75,2,13.3%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,25.7,4.9,6
Cameron Batson,TEN,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Carlos Hyde,SEA,RB,2014,1,35,35,25,62,215,21,33.9%,28.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,23,1,14.3%,3,0,42.9%,1,0,0,0,0.0%,0,-,7,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,8.3,2.0,39
Carson Wentz,PHI,QB,2016,1,42,42,20,68,520,68,100.0%,-,24,42,270,2,2,57.1%,4.8%,6.4,5.2,520,157,12.4,72.5,-0.27,1,2,0,0.0%,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,13.0,0.2,26
Cedrick Wilson,DAL,WR,2018,1,37,39,31,72,283,3,4.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,59,-,-,0,-,1.51,0,0.0%,0.00,-,0,5.9,0.0,
CeeDee Lamb,DAL,WR,2020,1,37,39,31,72,283,59,81.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,16.2%,1,83%,40,1.5,59,9.8,6.2,0,0.0%,1.51,37,13.1%,0.33,1.59,27,10.9,-0.7,38
Chase Claypool,PIT,WR,2020,1,31,32,33,64,221,19,29.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,8,0,0.0%,-,-,-,-,0,2,2,6.5%,0,100%,7,5.6,39,19.5,16.0,0,0.0%,1.22,32,14.5%,0.20,1.22,7,6.7,3.1,69
Chase Edmonds,ARI,RB,2018,1,37,40,29,82,192,28,34.1%,37.9%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,26,0,0.0%,0,1,0.0%,0,0,3,5,13.5%,1,60%,15,1.3,19,3.8,0.4,1,33.3%,0.48,2,1.0%,0.21,9.50,14,13.5,2.3,21
Chris Carson,SEA,RB,2017,1,35,35,25,62,215,28,45.2%,48.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,21,0,0.0%,3,0,25.0%,0,0,6,6,17.1%,2,100%,18,2.5,45,7.5,-1.2,2,33.3%,1.29,-7,-3.3%,0.23,-6.43,52,24.6,10.8,7
Chris Conley,JAC,WR,2015,1,20,20,21,50,89,16,32.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,5.0%,0,100%,8,0.8,6,6.0,-1.0,0,0.0%,0.30,-1,-1.1%,0.07,-6.00,7,1.6,-0.1,106
Chris Godwin,TB,WR,2017,1,34,36,28,70,282,66,94.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,7,20.6%,1,86%,39,2.0,79,11.3,9.4,0,0.0%,2.19,66,23.4%,0.47,1.20,30,13.9,0.2,27
Chris Herndon,NYJ,TE,2018,1,33,35,19,56,265,40,71.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,1,6,7,21.2%,0,86%,22,1.7,37,5.3,6.7,0,0.0%,1.06,47,17.7%,0.44,0.79,13,7.7,-1.1,20
Chris Hogan,NYJ,WR,2011,1,33,35,19,56,265,51,91.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,4,12.1%,1,25%,37,0.0,0,0.0,12.3,0,0.0%,0.00,49,18.5%,0.31,0.00,0,1.0,-7.1,109
Chris Thompson,JAC,RB,2013,1,20,20,21,50,89,12,24.0%,9.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,1,0,50.0%,0,0,2,2,10.0%,0,100%,12,0.5,6,3.0,1.0,0,0.0%,0.30,2,2.2%,0.17,3.00,4,2.6,-0.4,68
Christian Kirk,ARI,WR,2018,1,37,40,29,82,192,63,76.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,5,13.5%,0,20%,44,0.0,0,0.0,14.0,0,0.0%,0.00,70,36.5%,0.46,0.00,3,1.0,-6.9,108
Christian McCaffrey,CAR,RB,2017,1,34,34,30,67,279,65,97.0%,90.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,23,96,2,8.7%,16,0,59.3%,1,0,3,4,11.8%,0,75%,34,1.1,38,9.5,1.0,0,0.0%,1.12,4,1.4%,0.19,9.50,35,28.4,7.8,2
CJ Board,NYG,WR,2017,1,39,41,27,68,232,21,30.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,5.1%,0,100%,17,1.0,17,8.5,7.0,0,0.0%,0.41,14,6.0%,0.12,1.21,3,3.7,0.5,90
CJ Uzomah,CIN,TE,2015,1,35,36,27,68,291,49,72.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,5,14.3%,1,80%,31,1.5,45,9.0,9.2,0,0.0%,1.25,46,15.8%,0.32,0.98,22,8.5,-1.4,18
Clyde Edwards-Helaire,KC,RB,2020,1,32,32,38,69,147,46,66.7%,71.1%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,25,138,1,4.0%,9,2,33.3%,6,0,0,2,6.3%,0,0%,17,0.0,0,0.0,-3.5,0,-,0.00,-7,-4.8%,0.06,0.00,0,19.8,-10.7,10
Cole Beasley,BUF,WR,2012,1,45,46,29,87,283,55,63.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,7,15.6%,1,57%,37,1.6,58,8.3,6.9,0,0.0%,1.26,48,17.0%,0.35,1.21,14,9.8,-1.9,45
Cole Kmet,CHI,TE,2020,1,36,36,30,65,315,20,30.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,1,2.8%,1,0%,8,0.0,0,0.0,9.0,0,-,0.00,9,2.9%,0.06,0.00,0,0.0,-2.7,51
Collin Johnson,JAC,WR,2020,1,20,20,21,50,89,9,18.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,5.0%,0,100%,5,2.8,14,14.0,12.0,0,0.0%,0.70,12,13.5%,0.17,1.17,2,2.4,1.0,101
Cooper Kupp,LAR,WR,2017,1,28,31,41,73,140,62,84.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,5,17.9%,1,80%,30,1.3,40,8.0,3.8,0,0.0%,1.29,19,13.6%,0.36,2.11,18,8.0,0.6,57
Cordarrelle Patterson,CHI,WR,2013,1,36,36,30,65,315,10,15.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,19,0,0.0%,-,-,-,-,0,1,1,2.8%,0,100%,0,-,12,12.0,3.0,0,0.0%,0.33,3,1.0%,0.05,4.00,9,4.1,0.5,83
Corey Clement,PHI,RB,2017,1,42,42,20,68,520,25,36.8%,40.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,19,0,0.0%,0,0,0.0%,0,0,2,2,4.8%,0,100%,15,0.1,2,1.0,-3.0,0,0.0%,0.05,-6,-1.2%,0.06,-0.33,8,4.1,-0.9,59
Corey Davis,TEN,WR,2017,1,40,43,36,81,264,66,81.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,7,8,20.0%,0,88%,38,2.7,101,12.6,11.9,0,0.0%,2.35,95,36.0%,0.55,1.06,22,17.1,6.3,21
Courtland Sutton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Curtis Samuel,CAR,WR,2017,1,34,34,30,67,279,50,74.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,5,0,0.0%,-,-,-,-,0,5,8,23.5%,0,63%,28,1.4,38,4.8,8.8,0,0.0%,1.12,70,25.1%,0.53,0.54,4,9.3,-3.6,51
D'Andre Swift,DET,RB,2020,1,41,42,32,78,372,34,43.6%,25.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,8,1,33.3%,0,0,0.0%,1,0,3,5,12.2%,1,60%,23,0.7,15,3.0,1.6,0,0.0%,0.36,8,2.2%,0.20,1.88,17,11.3,0.1,28
DaeSean Hamilton,DEN,WR,2018,1,32,33,28,59,303,47,79.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,3,9.4%,0,33%,28,0.6,18,6.0,24.7,0,0.0%,0.55,74,24.4%,0.31,0.24,2,2.8,-1.3,97
Dak Prescott,DAL,QB,2016,1,37,39,31,72,283,72,100.0%,-,25,39,266,1,0,64.1%,2.6%,6.8,7.3,283,159,7.3,92.5,7.92,3,30,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,17.6,-1.4,17
Dallas Goedert,PHI,TE,2018,1,42,42,20,68,520,54,79.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,8,9,21.4%,1,89%,31,3.3,101,11.2,6.3,1,12.5%,2.40,57,11.0%,0.40,1.77,52,24.1,9.6,1
Dalton Schultz,DAL,TE,2018,1,37,39,31,72,283,50,69.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,4,10.8%,2,25%,24,0.5,11,2.8,3.5,0,0.0%,0.28,14,4.9%,0.20,0.79,4,2.1,-6.5,41
Dalvin Cook,MIN,RB,2017,1,25,25,18,52,267,30,57.7%,77.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,12,50,2,16.7%,3,0,21.4%,3,0,1,2,8.0%,0,50%,14,-0.1,-2,-1.0,-4.0,0,0.0%,-0.08,-8,-3.0%,0.10,0.25,1,17.8,4.3,11
Damiere Byrd,NE,WR,2016,1,19,19,31,64,101,56,87.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,17,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,111
Dan Arnold,ARI,TE,2017,1,37,40,29,82,192,45,54.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,5.4%,0,100%,30,0.7,21,10.5,3.0,0,0.0%,0.53,6,3.1%,0.10,3.50,15,4.1,1.2,27
Daniel Jones,NYG,QB,2019,1,39,41,27,68,232,68,100.0%,-,26,41,279,2,2,63.4%,4.9%,6.8,5.6,232,163,5.7,79.2,-1.23,4,22,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,17.4,-7.9,19
Danny Amendola,DET,WR,2008,1,41,42,32,78,372,43,55.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,7,17.1%,0,71%,31,2.6,81,11.6,9.6,0,0.0%,1.93,67,18.0%,0.38,1.21,22,13.1,2.4,29
Dante Pettis,SF,WR,2018,1,32,33,38,62,220,45,72.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,1,3.1%,0,0%,30,0.0,0,0.0,34.0,0,-,0.00,34,15.5%,0.16,0.00,0,0.0,-1.8,112
Darius Slayton,NYG,WR,2019,1,39,41,27,68,232,58,85.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,9,23.1%,3,67%,34,3.0,102,11.3,11.3,2,33.3%,2.49,102,44.0%,0.65,1.00,11,28.2,11.3,5
Darnell Mooney,CHI,WR,2020,1,36,36,30,65,315,21,32.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,8.3%,0,100%,13,2.9,38,12.7,8.3,0,0.0%,1.06,25,7.9%,0.18,1.52,13,6.8,2.2,67
Darrel Williams,KC,RB,2018,1,32,32,38,69,147,23,33.3%,23.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,23,0,0.0%,2,0,22.2%,0,0,2,2,6.3%,0,100%,10,0.7,7,3.5,-3.5,0,0.0%,0.22,-7,-4.8%,0.06,-1.00,14,5.0,-0.9,55
Darrell Henderson,LAR,RB,2019,1,28,31,41,73,140,5,6.8%,7.3%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,6,0,0.0%,0,0,0.0%,0,0,0,0,0.0%,0,-,1,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.6,-0.6,81
Darren Fells,HOU,TE,2013,1,31,32,21,59,283,25,42.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,6.5%,0,100%,10,1.9,19,9.5,3.0,0,0.0%,0.59,6,2.1%,0.11,3.17,13,3.9,1.0,29
Darren Waller,LV,TE,2015,1,28,30,41,63,182,56,88.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,8,28.6%,1,75%,26,1.7,45,5.6,3.8,0,0.0%,1.50,30,16.5%,0.54,1.50,31,10.5,-1.4,16
Darrynton Evans,TEN,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Darwin Thompson,KC,RB,2019,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Davante Adams,GB,WR,2014,1,41,44,42,78,337,70,89.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,14,17,41.5%,3,82%,43,3.6,156,9.2,9.6,2,14.3%,3.55,163,48.4%,0.96,0.96,43,41.6,11.0,1
David Johnson,HOU,RB,2015,1,31,32,21,59,283,48,81.4%,71.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,11,77,1,9.1%,5,2,33.3%,0,0,3,4,12.9%,0,75%,32,1.0,32,8.0,-0.8,0,0.0%,1.00,-3,-1.1%,0.19,-10.67,33,19.9,10.2,9
David Montgomery,CHI,RB,2019,1,36,36,30,65,315,29,44.6%,53.3%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,13,64,0,0.0%,5,0,31.3%,0,0,1,3,8.3%,1,33%,14,0.7,10,3.3,-2.0,0,0.0%,0.28,-6,-1.9%,0.11,-1.67,6,8.4,-4.3,38
David Moore,SEA,WR,2017,1,35,35,25,62,215,33,53.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,12,0,0.0%,-,-,-,-,0,3,3,8.6%,2,100%,24,1.2,28,9.3,1.0,0,0.0%,0.80,3,1.4%,0.14,9.33,25,7.0,0.1,64
