Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,1,41,44,42,78,337,42,53.8%,52.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,16,66,1,6.3%,5,0,22.7%,2,0,4,6,14.6%,4,67%,19,0.5,10,1.7,0.5,0,0.0%,0.23,3,0.9%,0.23,3.33,20,17.6,-7.9,12
Aaron Rodgers,GB,QB,2005,1,41,44,42,78,337,76,97.4%,-,32,44,364,4,0,72.7%,9.1%,8.3,10.1,337,209,7.7,127.5,4.25,1,2,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,30.8,5.5,2
Adam Humphries,TEN,WR,2015,1,40,43,36,81,264,44,54.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,7,17.5%,1,86%,33,1.4,47,6.7,6.0,0,0.0%,1.09,42,15.9%,0.37,1.12,5,10.7,-0.4,41
Adam Thielen,MIN,WR,2013,1,25,25,18,52,267,50,96.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,8,32.0%,1,75%,31,3.5,110,13.8,17.9,2,33.3%,4.40,143,53.6%,0.85,0.77,2,29.0,16.8,4
Adrian Peterson,DET,RB,2007,1,41,42,32,78,372,24,30.8%,53.1%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,93,0,0.0%,3,2,17.6%,0,0,3,3,7.3%,0,100%,9,2.3,21,7.0,0.7,0,0.0%,0.50,2,0.5%,0.11,10.50,19,14.4,2.8,18
AJ Brown,TEN,WR,2019,1,40,43,36,81,264,66,81.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,8,20.0%,1,63%,38,1.0,39,4.9,6.4,0,0.0%,0.91,51,19.3%,0.44,0.76,14,8.9,-3.5,53
AJ Dillon,GB,RB,2020,1,41,44,42,78,337,5,6.4%,4.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,14,0,0.0%,1,0,50.0%,0,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,1.4,0.5,77
AJ Green,CIN,WR,2011,1,35,36,27,68,291,45,66.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,9,25.7%,0,56%,30,1.7,51,5.7,14.7,0,0.0%,1.42,132,45.4%,0.70,0.39,12,10.1,-3.1,44
Alexander Mattison,MIN,RB,2019,1,25,25,18,52,267,19,36.5%,55.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,50,0,0.0%,2,1,20.0%,0,0,4,4,16.0%,0,100%,11,2.7,30,7.5,3.0,0,0.0%,1.20,12,4.5%,0.27,2.50,18,12.0,3.1,26
Allen Lazard,GB,WR,2018,1,41,44,42,78,337,68,87.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,19,0,0.0%,-,-,-,-,0,4,4,9.8%,1,100%,37,1.7,63,15.8,10.3,1,25.0%,1.43,41,12.2%,0.23,1.54,22,18.2,10.5,16
Allen Robinson,CHI,WR,2014,1,36,36,30,65,315,53,81.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-1,0,0.0%,-,-,-,-,0,5,9,25.0%,2,56%,36,2.1,74,8.2,16.4,0,0.0%,2.06,148,47.0%,0.70,0.50,21,12.3,-4.0,32
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Alvin Kamara,NO,RB,2017,1,30,30,41,68,158,45,66.2%,48.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,12,16,1,8.3%,3,0,15.0%,1,0,5,8,26.7%,2,63%,23,2.2,51,6.4,0.6,1,20.0%,1.70,5,3.2%,0.42,10.20,47,23.7,3.1,8
Amari Cooper,DAL,WR,2015,1,37,39,31,72,283,68,94.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,10,14,37.8%,2,71%,43,1.9,81,5.8,8.1,0,0.0%,2.08,113,39.9%,0.85,0.72,8,18.1,-5.0,17
Andy Isabella,ARI,WR,2019,1,37,40,29,82,192,14,17.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,116
Anthony Firkser,TEN,TE,2017,1,40,43,36,81,264,32,39.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,5.0%,0,100%,22,0.2,5,2.5,1.5,0,0.0%,0.12,3,1.1%,0.08,1.67,2,2.5,4.5,38
Anthony McFarland,PIT,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Anthony Miller,CHI,WR,2018,1,36,36,30,65,315,27,41.5%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,6,16.7%,1,67%,22,3.5,76,12.7,18.2,1,25.0%,2.11,109,34.6%,0.49,0.70,8,17.6,7.8,19
Antonio Gandy-Golden,WAS,WR,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Antonio Gibson,WAS,RB,2020,1,30,31,36,70,248,18,25.7%,30.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,36,0,0.0%,2,1,18.2%,1,0,2,2,6.7%,0,100%,8,1.0,8,4.0,-3.5,0,0.0%,0.26,-7,-2.8%,0.08,-1.14,15,6.4,-2.2,48
Auden Tate,CIN,WR,2018,1,35,36,27,68,291,15,22.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,-,115
Austin Ekeler,LAC,RB,2017,1,29,30,34,74,335,50,67.6%,58.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,19,84,0,0.0%,5,0,25.0%,0,0,1,1,3.4%,0,100%,22,0.1,3,3.0,-5.0,0,0.0%,0.10,-5,-1.5%,0.04,-0.60,8,9.7,-1.1,35
Austin Hooper,CLE,TE,2016,1,35,39,31,73,376,56,76.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,2,5.7%,0,100%,28,0.5,15,7.5,7.5,0,0.0%,0.38,15,4.0%,0.11,1.00,0,3.5,0.3,31
Baker Mayfield,CLE,QB,2018,1,35,39,31,73,376,73,100.0%,-,21,39,189,1,1,53.8%,2.6%,4.8,4.2,376,171,9.6,65.0,8.12,2,3,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,9.9,-6.1,30
