Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Aaron Rodgers,GB,QB,2005,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,7,0,0,-,0.0,0.0,-
Adam Humphries,TEN,WR,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Adam Thielen,MIN,WR,2013,1,38,39,50,87,271,81,93.1%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0.0%,3.0,-,-,-,-,0,9,13,34.2%,3,69%,41,2.0,80,8.9,6.2,9.6,2,22.2%,2.05,125,46.1%,0.84,0.64,7,1,83,2,0.95,29.3,2.6,3
Adrian Peterson,DET,RB,2007,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
AJ Brown,TEN,WR,2019,1,28,28,33,66,181,47,71.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,7,9,32.1%,2,78%,26,3.2,82,11.7,9.1,9.7,1,14.3%,2.93,87,48.1%,0.82,0.94,23,3,82,1,1.24,21.2,6.4,10
AJ Dillon,GB,RB,2020,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
AJ Green,CIN,WR,2011,1,29,30,35,67,220,28,41.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,1,3.4%,0,0%,20,0.0,0,-,0.0,18.0,0,-,0.00,18,8.2%,0.11,0.00,0,10,0,0,0.00,0.0,-1.4,88
Alex Smith,WAS,QB,2005,1,28,30,25,54,139,29,53.7%,-,-,9,17,37,0,0,52.9%,0.0%,2.2,2.2,97,-2,5.7,58.7,-19.40,1,1,0,0.0%,1.0,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,1,1,0,0.02,1.6,-4.5,31
Alexander Mattison,MIN,RB,2019,1,38,39,50,87,271,43,49.4%,46.0%,16.4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,20,112,0,0.0%,5.6,3,2,13.0%,0,0,3,3,7.9%,0,100%,18,1.3,24,8.0,8.0,-1.0,0,0.0%,0.62,-3,-1.1%,0.11,-8.00,27,28,136,0,1.56,16.6,0.1,16
Allen Lazard,GB,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,2,0,0,-,0.0,0.0,-
Allen Robinson,CHI,WR,2014,1,42,42,21,63,292,55,87.3%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,10,16,38.1%,1,63%,41,2.2,90,9.0,5.6,8.4,0,0.0%,2.14,134,45.9%,0.89,0.67,22,0,90,0,1.43,19.0,-8.0,19
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,2,0,0,-,0.0,0.0,-
