Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Alvin Kamara,NO,RB,2017,1,47,47,33,76,325,58,76.3%,63.6%,22.3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,11,45,0,0.0%,4.1,6,0,31.6%,0,0,8,10,21.3%,0,80%,37,2.0,74,9.3,7.4,4.3,0,0.0%,1.57,43,13.2%,0.41,1.72,40,14,119,0,1.57,19.9,0.9,9
Amari Cooper,DAL,WR,2015,1,33,33,32,66,237,42,63.6%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-2,0,0.0%,-2.0,-,-,-,-,0,2,4,12.1%,0,50%,25,0.9,23,11.5,5.8,5.5,0,0.0%,0.70,22,9.3%,0.25,1.05,14,1,21,0,0.32,4.1,-2.2,71
Andy Dalton,DAL,QB,2011,1,33,33,32,66,237,22,33.3%,-,-,0,0,111,0,0,-,-,-,-,88,79,-,108.7,0.00,1,0,0,0.0%,0.0,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,5,0,0,0.00,2.4,1.2,30
Andy Isabella,ARI,WR,2019,1,35,37,28,75,294,23,30.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,3,8.6%,0,67%,18,1.7,30,15.0,10.0,10.3,0,0.0%,0.81,31,10.5%,0.20,0.97,12,0,30,0,0.40,5.0,0.1,66
Anthony Firkser,TEN,TE,2017,1,28,28,33,66,181,23,34.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,5,17.9%,1,60%,14,1.4,19,6.3,3.8,9.8,0,0.0%,0.68,49,27.1%,0.46,0.39,3,5,19,0,0.29,4.9,-4.0,19
Anthony McFarland,PIT,RB,2020,1,34,34,33,75,196,5,6.7%,9.1%,1.7,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,6,0,0.0%,2.0,2,0,66.7%,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,4,6,0,0.08,0.6,-0.7,59
Anthony Miller,CHI,WR,2018,1,42,42,21,63,292,26,41.3%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,4,4,9.5%,0,100%,20,1.4,28,7.0,7.0,5.3,0,0.0%,0.67,21,7.2%,0.19,1.33,7,0,28,0,0.44,6.8,0.9,57
Antonio Gandy-Golden,WAS,WR,2020,1,28,30,25,54,139,23,42.6%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,5,0,0,0.00,0.0,0.0,89
Antonio Gibson,WAS,RB,2020,1,28,30,25,54,139,30,55.6%,64.0%,14.3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,11,27,0,0.0%,2.5,5,0,31.3%,0,0,5,5,17.9%,0,100%,15,1.6,24,4.8,4.8,-3.4,0,0.0%,0.80,-17,-12.2%,0.18,-1.41,41,11,51,0,0.94,10.1,-2.2,27
Auden Tate,CIN,WR,2018,1,29,30,35,67,220,26,38.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,1,3.4%,0,100%,6,2.0,12,12.0,12.0,3.0,0,0.0%,0.40,3,1.4%,0.06,4.00,9,0,12,0,0.18,2.2,0.8,81
Austin Ekeler,LAC,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Austin Hooper,CLE,TE,2016,1,38,38,36,73,340,58,79.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,10,26.3%,0,50%,27,2.1,57,11.4,5.7,10.3,0,0.0%,1.50,103,30.3%,0.61,0.55,26,0,57,0,0.78,10.7,-4.7,11
Baker Mayfield,CLE,QB,2018,1,38,38,36,73,340,73,100.0%,-,-,21,37,247,2,2,56.8%,5.4%,6.7,5.3,323,167,8.7,72.7,-6.50,2,17,0,0.0%,8.5,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,2,17,0,0.23,15.6,-4.8,15
Ben Roethlisberger,PIT,QB,2004,1,34,34,33,75,196,75,100.0%,-,-,27,34,239,3,0,79.4%,8.8%,7.0,8.8,196,132,5.8,125.4,10.90,2,-2,0,0.0%,-1.0,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,10,-2,0,-0.03,21.4,6.2,10
Benny Snell,PIT,RB,2019,1,34,34,33,75,196,15,20.0%,21.2%,4.1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,19,0,0.0%,2.7,0,0,0.0%,1,0,0,0,0.0%,0,-,1,0.0,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,10,19,0,0.25,1.9,-4.1,55
Blake Jarwin,DAL,TE,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Boston Scott,PHI,RB,2018,1,36,36,16,59,474,7,11.9%,6.3%,0.6,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,3,0,0.0%,3.0,0,0,0.0%,0,0,0,0,0.0%,0,-,5,0.0,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,1,3,0,0.05,0.3,-0.3,61
Brandin Cooks,HOU,WR,2014,1,35,35,25,58,329,48,82.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,8,12,34.3%,0,67%,35,4.6,161,20.1,13.4,10.2,1,12.5%,4.60,122,37.1%,0.77,1.32,51,2,161,1,2.78,30.1,10.3,2
Brandon Aiyuk,SF,WR,2020,1,35,35,28,64,316,62,96.9%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,6,17.1%,0,50%,39,1.1,44,14.7,7.3,18.8,0,0.0%,1.26,113,35.8%,0.51,0.39,11,0,44,0,0.69,7.4,-1.0,54
Breshad Perriman,NYJ,WR,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Brett Rypien,DEN,QB,2019,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,8,0,0,-,0.0,0.0,-
Brian Hill,ATL,RB,2017,1,35,37,31,65,284,20,30.8%,25.8%,6.7,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,39,0,0.0%,6.5,5,0,62.5%,0,0,2,2,5.7%,0,100%,13,1.2,15,7.5,7.5,-0.5,0,0.0%,0.41,-1,-0.4%,0.08,-15.00,16,6,54,0,0.83,7.4,1.1,33
Brian Hoyer,NE,QB,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,,,,,-,-,-,,-,,0,0,-,-,-,-,-,0,-,-,-,0,-,-,,-,-,-,0,0,0,0,-,0.0,0.0,-
Bryan Edwards,LV,WR,2020,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Calvin Ridley,ATL,WR,2018,1,35,37,31,65,284,48,73.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,8,10,28.6%,0,80%,33,4.1,136,17.0,13.6,13.2,0,0.0%,3.68,132,46.5%,0.75,1.03,25,0,136,0,2.09,21.6,6.9,9
Cam Akers,LAR,RB,2020,1,29,30,38,68,188,13,19.1%,23.7%,5.2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,61,0,0.0%,6.8,4,1,44.4%,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,9,61,0,0.90,6.1,1.8,38
Cam Newton,NE,QB,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,4,0,0,-,0.0,0.0,-
Cameron Batson,TEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,8,0,0,-,0.0,0.0,-
Carlos Hyde,SEA,RB,2014,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,7,0,0,-,0.0,0.0,-
Carson Wentz,PHI,QB,2016,1,36,36,16,59,474,59,100.0%,-,-,20,35,258,2,2,57.1%,5.7%,7.4,5.9,461,200,13.2,75.7,-2.50,4,11,0,0.0%,2.8,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,9,11,0,0.19,15.4,2.9,16
Cedrick Wilson,DAL,WR,2018,1,33,33,32,66,237,15,22.7%,-,-,0,0,11,1,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,4,4,12.1%,-,100%,-,-,22,5.5,5.5,-1.3,0,0.0%,0.67,-5,-2.1%,0.17,-4.40,27,6,22,0,0.33,10.6,1.2,43
CeeDee Lamb,DAL,WR,2020,1,33,33,32,66,237,36,54.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,8,11,33.3%,1,73%,25,5.0,124,15.5,11.3,12.2,0,0.0%,3.76,134,56.5%,0.90,0.93,17,2,124,0,1.88,20.4,2.7,14
Chase Claypool,PIT,WR,2020,1,34,34,33,75,196,52,69.3%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,6,1,33.3%,2.0,-,-,-,-,0,7,11,32.4%,2,64%,24,4.6,110,15.7,10.0,13.2,3,42.9%,3.24,145,74.0%,1.00,0.76,54,3,116,4,1.55,42.6,16.7,1
Chase Edmonds,ARI,RB,2018,1,35,37,28,75,294,34,45.3%,32.1%,11.3,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,36,1,33.3%,12.0,0,1,0.0%,0,0,5,6,17.1%,0,83%,15,3.7,56,11.2,9.3,3.7,0,0.0%,1.51,22,7.5%,0.31,2.55,34,5,92,1,1.23,20.2,11.3,7
Chris Carson,SEA,RB,2017,1,30,32,18,54,391,31,57.4%,83.3%,15.8,0,0,0,0,0,-,-,-,-,-,-,-,-,-,8,52,1,12.5%,6.5,6,1,42.9%,0,0,6,7,23.3%,0,86%,16,1.7,27,4.5,3.9,3.6,0,0.0%,0.84,25,6.4%,0.39,1.08,21,11,79,1,1.46,19.9,5.1,10
Chris Conley,JAC,WR,2015,1,44,49,26,75,295,24,32.0%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,2,4.5%,0,100%,21,2.8,58,29.0,29.0,27.0,0,0.0%,1.18,54,18.3%,0.20,1.07,4,3,58,0,0.77,7.8,5.1,51
Chris Godwin,TB,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,5,0,0,-,0.0,0.0,-
Chris Herndon,NYJ,TE,2018,1,31,33,25,69,322,29,42.0%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,3,9.7%,0,67%,15,1.6,24,12.0,8.0,5.7,0,0.0%,0.73,17,5.3%,0.18,1.41,15,0,24,0,0.35,4.4,-0.2,21
Chris Hogan,NYJ,WR,2011,1,31,33,25,69,322,45,65.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,3,9.7%,0,100%,26,0.8,20,6.7,6.7,4.7,0,0.0%,0.61,14,4.3%,0.18,1.43,6,0,20,0,0.29,5.0,0.3,67
Chris Thompson,JAC,RB,2013,1,44,49,26,75,295,30,40.0%,19.2%,5.9,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,0,0.0%,3.5,0,0,0.0%,0,0,3,3,6.8%,0,100%,20,1.8,35,11.7,11.7,1.0,0,0.0%,0.71,3,1.0%,0.11,11.67,32,2,42,0,0.56,7.2,0.9,34
Christian Kirk,ARI,WR,2018,1,35,37,28,75,294,44,58.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,7,20.0%,0,71%,31,2.5,78,15.6,11.1,13.7,0,0.0%,2.11,96,32.7%,0.53,0.81,19,0,78,0,1.04,12.8,1.5,28
Christian McCaffrey,CAR,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,3,0,0,-,0.0,0.0,-
CJ Beathard,SF,QB,2017,1,35,35,28,64,316,33,51.6%,-,-,9,18,94,1,0,50.0%,5.6%,5.2,6.3,154,39,8.6,84.0,-18.80,,,,,-,-,-,,-,,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,,0.0%,0.00,-,0,6,0,0,0.00,7.8,1.2,25
CJ Board,NYG,WR,2017,1,29,33,34,68,188,28,41.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,0,0,0,0.00,0.0,0.0,90
CJ Uzomah,CIN,TE,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,3,0,0,-,0.0,0.0,-
Clyde Edwards-Helaire,KC,RB,2020,1,42,43,27,72,412,43,59.7%,66.7%,18.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,10,40,0,0.0%,4.0,1,0,7.7%,1,0,3,8,19.0%,0,38%,24,1.7,40,13.3,5.0,1.1,0,0.0%,0.93,9,2.2%,0.30,4.44,36,15,80,0,1.11,11.0,-6.4,25
Cole Beasley,BUF,WR,2012,1,45,46,22,72,388,44,61.1%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,6,6,13.3%,0,100%,29,1.8,53,8.8,8.8,5.8,0,0.0%,1.15,35,9.0%,0.26,1.51,18,3,53,0,0.74,11.3,0.5,35
Cole Kmet,CHI,TE,2020,1,42,42,21,63,292,21,33.3%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,0,-,6,0.0,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,0,0,0,0.00,0.0,0.0,33
Collin Johnson,JAC,WR,2020,1,44,49,26,75,295,23,30.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,4,9.1%,2,75%,23,1.3,30,10.0,7.5,7.5,1,33.3%,0.61,30,10.2%,0.21,1.00,4,0,30,1,0.40,12.0,2.8,31
Cooper Kupp,LAR,WR,2017,1,29,30,38,68,188,56,82.4%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,5,8,27.6%,1,63%,27,2.4,66,13.2,8.3,6.4,0,0.0%,2.20,51,27.1%,0.60,1.29,50,0,66,0,0.97,11.6,-0.5,32
Cordarrelle Patterson,CHI,WR,2013,1,42,42,21,63,292,15,23.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,7,0,0.0%,2.3,-,-,-,-,0,3,3,7.1%,1,100%,0,-,38,12.7,12.7,4.7,0,0.0%,0.90,14,4.8%,0.14,2.71,24,8,45,0,0.71,7.5,1.1,52
Corey Clement,PHI,RB,2017,1,36,36,16,59,474,3,5.1%,0.0%,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,0,0,0,0.00,0.0,0.0,63
Corey Davis,TEN,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,1,0,0,-,0.0,0.0,-
Courtland Sutton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Curtis Samuel,CAR,WR,2017,1,35,37,34,65,254,48,73.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,28,0,0.0%,7.0,-,-,-,-,0,5,5,14.3%,0,100%,33,1.1,36,7.2,7.2,6.4,0,0.0%,0.97,32,12.6%,0.30,1.13,4,5,64,0,0.98,11.4,0.6,34
D'Andre Swift,DET,RB,2020,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
D'Ernest Johnson,CLE,RB,2018,1,38,38,36,73,340,22,30.1%,25.0%,6.2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,8,32,0,0.0%,4.0,1,1,11.1%,0,0,1,1,2.6%,0,100%,12,0.3,4,4.0,4.0,-3.0,0,0.0%,0.11,-3,-0.9%,0.03,-1.33,7,9,36,0,0.49,4.6,-1.5,42
DaeSean Hamilton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,5,0,0,-,0.0,0.0,-
Dak Prescott,DAL,QB,2016,1,33,33,32,66,237,44,66.7%,-,-,0,0,166,0,1,-,-,-,-,139,96,-,70.7,-4.40,2,7,0,0.0%,3.5,-,-,-,-,0,1,1,3.0%,-,100%,-,-,11,11.0,11.0,-,1,100.0%,0.33,-,-,-,-,1,2,18,1,0.27,13.4,-6.4,21
Dallas Goedert,PHI,TE,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Dalton Schultz,DAL,TE,2018,1,33,33,32,66,237,58,87.9%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,3,9.1%,0,33%,28,0.2,6,6.0,2.0,3.3,0,0.0%,0.18,10,4.2%,0.17,0.60,4,0,6,0,0.09,1.6,-3.8,29
Dalvin Cook,MIN,RB,2017,1,38,39,50,87,271,36,41.4%,44.0%,17.8,0,0,0,0,0,-,-,-,-,-,-,-,-,-,17,65,1,5.9%,3.8,4,0,18.2%,0,0,5,5,13.2%,0,100%,17,1.4,24,4.8,4.8,-3.2,0,0.0%,0.62,-16,-5.9%,0.16,-1.50,40,17,89,1,1.02,19.9,4.7,11
Damien Harris,NE,RB,2019,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,,,,,,,,,,-,0,0,,-,,0,0,-,0,-,0,-,0,-,-,-,0,-,-,,-,-,-,0,0,0,0,-,0.0,0.0,-
Damiere Byrd,NE,WR,2016,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Dan Arnold,ARI,TE,2017,1,35,37,28,75,294,27,36.0%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,8,0,0,0.00,0.0,0.0,34
Daniel Jones,NYG,QB,2019,1,29,33,34,68,188,68,100.0%,-,-,0,0,222,0,0,-,-,-,-,188,115,-,80.6,6.20,1,-1,0,0.0%,-1.0,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,3,-1,0,-0.01,8.8,-4.1,24
Danny Amendola,DET,WR,2008,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,1,0,0,-,0.0,0.0,-
