Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Benny Snell,PIT,RB,2019,1,35,36,40,80,323,15,18.8%,17.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,7,11,0,0.0%,1,0,14.3%,1,0,0,0,0.0%,0,-,1,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,1.1,-4.5,68
Blake Jarwin,DAL,TE,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Boston Scott,PHI,RB,2018,1,44,47,34,91,356,13,14.3%,11.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,5,0,0.0%,1,0,33.3%,0,0,0,1,2.3%,0,0%,7,0.0,0,0.0,-3.0,0,-,0.00,-3,-0.8%,0.03,0.00,0,0.5,-2.4,72
Brandin Cooks,HOU,WR,2014,1,27,27,17,47,291,41,87.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,5,18.5%,0,60%,30,0.8,23,4.6,9.6,0,0.0%,0.85,48,16.5%,0.39,0.48,14,5.3,-3.2,72
Brandon Aiyuk,SF,WR,2020,1,35,36,40,77,262,56,72.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,31,1,33.3%,-,-,-,-,0,5,8,22.9%,2,63%,35,2.0,70,8.8,7.5,0,0.0%,1.94,60,22.9%,0.50,1.17,37,21.1,3.4,13
Breshad Perriman,NYJ,WR,2015,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Brian Hill,ATL,RB,2017,1,38,38,31,68,423,23,33.8%,38.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,58,1,11.1%,0,1,0.0%,0,0,1,3,7.9%,0,33%,13,1.7,22,7.3,0.7,0,0.0%,0.58,2,0.5%,0.12,11.00,25,15.0,5.7,19
Bryan Edwards,LV,WR,2020,1,32,32,27,59,247,24,40.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,3,9.4%,0,67%,13,3.7,48,16.0,11.0,0,0.0%,1.50,33,13.4%,0.23,1.45,18,6.8,2.2,63
Calvin Ridley,ATL,WR,2018,1,38,38,31,68,423,63,92.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,7,0,0.0%,-,-,-,-,0,5,13,34.2%,2,38%,38,2.9,110,8.5,19.2,0,0.0%,2.89,249,58.9%,0.93,0.44,18,16.7,-3.1,25
Cam Akers,LAR,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Cam Newton,NE,QB,2011,1,28,28,42,69,129,69,100.0%,-,17,28,162,1,1,60.7%,3.6%,5.8,4.9,129,36,4.6,73.8,-7.90,9,27,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,11.2,-6.1,27
Cameron Batson,TEN,WR,2018,1,33,37,38,75,363,45,60.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,27,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,100
Carlos Hyde,SEA,RB,2014,1,38,40,25,76,394,16,21.1%,20.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,12,0,0.0%,0,0,0.0%,0,0,1,1,2.6%,0,100%,8,1.4,11,11.0,0.0,0,0.0%,0.28,0,0.0%,0.04,-,11,3.3,0.1,55
Carson Wentz,PHI,QB,2016,1,44,47,34,91,356,91,100.0%,-,29,47,225,1,2,61.7%,2.1%,4.8,3.3,356,124,7.6,62.8,-4.10,9,65,1,11.1%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,21.5,-3.1,10
Cedrick Wilson,DAL,WR,2018,1,56,57,28,82,454,24,29.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,7,12.5%,-,71%,#N/A,-,107,15.3,9.6,2,40.0%,1.88,67,14.8%,0.29,1.60,70,27.7,15.6,5
CeeDee Lamb,DAL,WR,2020,1,56,57,28,82,454,49,59.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,1,0,0.0%,-,-,-,-,0,5,6,10.7%,0,83%,39,1.7,65,10.8,10.8,0,0.0%,1.14,65,14.3%,0.26,1.00,11,11.6,1.5,40
Chase Claypool,PIT,WR,2020,1,35,36,40,80,323,61,76.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,1,1,4,11.4%,0,25%,31,0.8,24,6.0,14.8,0,0.0%,0.67,59,18.3%,0.30,0.41,23,1.4,-2.7,94
Chase Edmonds,ARI,RB,2018,1,33,35,25,65,332,21,32.3%,20.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,13,0,0.0%,0,0,0.0%,0,0,2,2,6.1%,1,100%,11,1.9,21,10.5,2.0,0,0.0%,0.60,4,1.2%,0.10,5.25,17,5.4,0.1,48
Chris Carson,SEA,RB,2017,1,38,40,25,76,394,44,57.9%,68.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,64,0,0.0%,1,1,5.9%,1,0,3,3,7.9%,0,100%,25,0.5,12,4.0,-3.3,0,0.0%,0.30,-10,-2.5%,0.10,-1.20,22,10.6,-3.5,26
Chris Conley,JAC,WR,2015,1,41,42,26,66,313,53,80.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,8,19.5%,0,38%,40,0.9,34,4.3,20.0,0,0.0%,0.81,160,51.1%,0.65,0.21,8,6.4,-6.0,65
Chris Godwin,TB,WR,2017,1,36,38,30,68,315,55,80.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,16.7%,2,83%,37,1.7,64,10.7,6.8,1,20.0%,1.68,41,13.0%,0.34,1.56,26,17.4,5.9,24
Chris Herndon,NYJ,TE,2018,1,26,29,32,64,182,51,79.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,5,19.2%,0,60%,24,0.9,21,4.2,4.8,0,0.0%,0.72,24,13.2%,0.38,0.88,21,5.1,-2.0,28
Chris Hogan,NYJ,WR,2011,1,26,29,32,64,182,51,79.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,3,11.5%,0,0%,25,0.0,0,0.0,20.7,0,-,0.00,62,34.1%,0.41,0.00,0,0.0,-4.3,101
Chris Thompson,JAC,RB,2013,1,41,42,26,66,313,30,45.5%,30.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,3,0,0.0%,3,0,42.9%,0,0,5,6,14.6%,1,83%,24,1.5,35,5.8,3.0,0,0.0%,0.83,18,5.8%,0.26,1.94,27,8.8,-1.3,33
Christian Kirk,ARI,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Christian McCaffrey,CAR,RB,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
CJ Board,NYG,WR,2017,1,31,32,16,52,284,24,46.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,2,6.5%,0,50%,16,0.6,9,4.5,27.5,0,0.0%,0.28,55,19.4%,0.23,0.16,0,1.9,-1.2,90
CJ Uzomah,CIN,TE,2015,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Clyde Edwards-Helaire,KC,RB,2020,1,41,42,38,75,246,52,69.3%,68.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,20,64,0,0.0%,0,1,0.0%,0,0,5,6,14.6%,1,83%,27,2.6,70,11.7,1.7,0,0.0%,1.67,10,4.1%,0.25,7.00,62,18.4,-2.6,12
Cole Beasley,BUF,WR,2012,1,32,33,22,62,307,38,61.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,6,7,21.9%,1,86%,24,4.2,100,14.3,10.6,0,0.0%,3.03,74,24.1%,0.50,1.35,37,16.0,3.3,27
Cole Kmet,CHI,TE,2020,1,49,51,30,82,560,26,31.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,40
Collin Johnson,JAC,WR,2020,1,41,42,26,66,313,20,30.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,2,4.9%,1,50%,18,0.2,3,1.5,4.0,0,0.0%,0.07,8,2.6%,0.09,0.38,1,1.3,-2.8,95
Cooper Kupp,LAR,WR,2017,1,31,32,35,69,191,62,89.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,9,10,32.3%,2,90%,32,3.3,107,10.7,7.2,1,11.1%,3.34,72,37.7%,0.75,1.49,43,25.7,9.9,8
Cordarrelle Patterson,CHI,WR,2013,1,49,51,30,82,560,11,13.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,13,0,0.0%,-,-,-,-,0,0,0,0.0%,0,-,16,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,1.3,-1.6,96
Corey Clement,PHI,RB,2017,1,44,47,34,91,356,6,6.6%,8.8%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,8,0,0.0%,1,0,33.3%,0,0,0,0,0.0%,0,-,4,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.8,-0.6,70
Corey Davis,TEN,WR,2017,1,33,37,38,75,363,55,73.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,18.2%,0,83%,32,2.2,69,11.5,7.0,0,0.0%,1.86,42,11.6%,0.35,1.64,33,11.9,2.1,38
Courtland Sutton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Curtis Samuel,CAR,WR,2017,1,28,28,28,51,138,33,64.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,7,0,0.0%,-,-,-,-,0,4,4,14.3%,2,100%,23,2.0,45,11.3,3.8,0,0.0%,1.61,15,10.9%,0.29,3.00,30,9.2,-0.1,46
D'Andre Swift,DET,RB,2020,1,31,31,31,67,220,6,9.0%,6.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,0.0%,0,0,1,2,6.5%,0,50%,4,4.8,19,9.5,-1.0,0,0.0%,0.61,-2,-0.9%,0.09,-9.50,21,2.9,0.3,59
DaeSean Hamilton,DEN,WR,2018,1,38,39,19,63,262,12,19.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,0.0%,0,-,0,-,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.0,0.0,102
Dak Prescott,DAL,QB,2016,1,56,57,28,82,454,82,100.0%,-,37,57,472,3,2,64.9%,5.3%,8.3,7.8,454,282,8.0,130.7,1.60,6,26,0,0.0%,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,27.5,7.5,3
Dallas Goedert,PHI,TE,2018,1,44,47,34,91,356,6,6.6%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,2.3%,0,100%,4,1.8,7,7.0,1.0,0,0.0%,0.15,1,0.3%,0.04,7.00,6,1.7,0.2,38
Dalton Schultz,DAL,TE,2018,1,56,57,28,82,454,55,67.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,4,6,10.7%,0,67%,35,1.4,48,8.0,8.5,0,0.0%,0.84,51,11.2%,0.24,0.94,30,8.8,0.3,15
Dalvin Cook,MIN,RB,2017,1,25,27,37,65,237,48,73.8%,73.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,22,181,1,4.5%,16,2,66.7%,0,1,2,5,20.0%,0,40%,18,1.0,18,3.6,-0.4,0,0.0%,0.67,-2,-0.8%,0.29,-9.00,14,25.9,9.6,6
Damiere Byrd,NE,WR,2016,1,28,28,42,69,129,66,95.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,3,10.7%,0,100%,30,0.9,27,9.0,3.3,0,0.0%,0.96,10,7.8%,0.21,2.70,17,5.7,1.0,68
Dan Arnold,ARI,TE,2017,1,33,35,25,65,332,21,32.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,2,6.1%,0,50%,16,0.7,11,5.5,14.0,0,0.0%,0.31,28,8.4%,0.15,0.39,2,2.1,-0.4,36
Daniel Jones,NYG,QB,2019,1,31,32,16,52,284,52,100.0%,-,17,32,179,0,1,53.1%,0.0%,5.6,4.2,284,140,8.9,56.6,-12.40,5,49,0,0.0%,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,8.1,-3.1,31
Danny Amendola,DET,WR,2008,1,31,31,31,67,220,30,44.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,4,12.9%,1,25%,19,0.9,18,4.5,9.3,0,0.0%,0.58,37,16.8%,0.31,0.49,16,2.8,-4.6,85
Dante Pettis,SF,WR,2018,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Darius Slayton,NYG,WR,2019,1,31,32,16,52,284,51,98.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,7,22.6%,0,43%,32,1.7,53,7.6,13.1,0,0.0%,1.66,92,32.4%,0.57,0.58,5,8.3,-2.4,54
Darnell Mooney,CHI,WR,2020,1,49,51,30,82,560,46,56.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,5,10.2%,0,40%,35,0.5,19,3.8,21.0,0,0.0%,0.37,105,18.8%,0.28,0.18,7,3.9,-3.8,78
Darrel Williams,KC,RB,2018,1,41,42,38,75,246,16,21.3%,10.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,6,0,0.0%,0,0,0.0%,0,0,2,2,4.9%,0,100%,5,0.2,1,0.5,-3.5,0,0.0%,0.02,-7,-2.8%,0.05,-0.14,8,2.7,-1.4,62
Darrell Henderson,LAR,RB,2019,1,31,32,35,69,191,34,49.3%,65.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,20,114,1,5.0%,2,0,9.5%,2,0,1,3,9.7%,0,33%,10,0.6,6,2.0,-1.7,0,0.0%,0.19,-5,-2.6%,0.13,-1.20,4,19.0,-1.6,11
Darren Fells,HOU,TE,2013,1,27,27,17,47,291,24,51.1%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,2,7.4%,1,0%,9,0.0,0,0.0,8.0,0,-,0.00,16,5.5%,0.15,0.00,0,0.0,-3.8,41
Darren Waller,LV,TE,2015,1,32,32,27,59,247,56,94.9%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,4,12.5%,1,50%,32,0.3,9,2.3,7.3,0,0.0%,0.28,29,11.7%,0.27,0.31,1,2.9,-4.4,34
Darrynton Evans,TEN,RB,2020,1,33,37,38,75,363,8,10.7%,7.9%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,9,0,0.0%,2,0,66.7%,0,0,0,0,0.0%,0,-,1,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,0.9,-0.6,69
Darwin Thompson,KC,RB,2019,1,41,42,38,75,246,6,8.0%,10.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,11,0,0.0%,0,0,0.0%,0,1,0,2,4.9%,0,0%,4,0.0,0,0.0,0.0,0,-,0.00,0,0.0%,0.07,-,0,-0.9,3.6,-
Davante Adams,GB,WR,2014,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
David Johnson,HOU,RB,2015,1,27,27,17,47,291,45,95.7%,94.1%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,13,23,1,7.7%,1,0,6.7%,1,0,2,3,11.1%,0,67%,29,0.8,23,7.7,6.7,0,0.0%,0.85,20,6.9%,0.21,1.15,4,12.6,0.4,25
David Montgomery,CHI,RB,2019,1,49,51,30,82,560,46,56.1%,56.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,45,0,0.0%,2,0,12.5%,0,0,2,3,6.1%,1,67%,20,0.5,9,3.0,9.0,0,0.0%,0.18,27,4.8%,0.13,0.33,9,7.4,-4.8,40
David Moore,SEA,WR,2017,1,38,40,25,76,394,31,40.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,1,1,2.6%,0,100%,17,0.1,2,2.0,-3.0,0,0.0%,0.05,-3,-0.8%,0.03,-0.67,5,1.2,-0.5,97
David Njoku,CLE,TE,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
