Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,1,30,32,31,62,288,44,71.0%,64.5%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,16,69,1,6.3%,1,1,5.6%,3,0,2,4,13.3%,2,50%,21,0.8,17,4.3,3.3,0,0.0%,0.53,13,4.5%,0.23,1.31,22,16.6,-5.7,15
Aaron Rodgers,GB,QB,2005,1,30,32,31,62,288,62,100.0%,-,21,32,283,3,0,65.6%,9.4%,8.8,10.7,288,132,9.0,124.9,5.60,2,12,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,24.5,6.8,5
Adam Humphries,TEN,WR,2015,1,33,37,38,75,363,39,52.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,4,7,21.2%,1,57%,26,1.6,41,5.9,10.1,0,0.0%,1.11,71,19.6%,0.46,0.58,12,8.1,-4.2,58
Adam Thielen,MIN,WR,2013,1,25,27,37,65,237,61,93.8%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,4,0,0.0%,-,-,-,-,0,3,5,20.0%,1,60%,30,1.0,29,5.8,17.8,1,33.3%,1.07,89,37.6%,0.56,0.33,8,12.3,3.4,36
Adrian Peterson,DET,RB,2007,1,31,31,31,67,220,40,59.7%,74.2%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,22,75,0,0.0%,3,1,13.0%,0,0,1,1,3.2%,0,100%,12,0.8,10,10.0,-3.0,0,0.0%,0.32,-3,-1.4%,0.04,-3.33,13,9.5,-3.0,29
AJ Brown,TEN,WR,2019,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
AJ Dillon,GB,RB,2020,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
AJ Green,CIN,WR,2011,1,42,44,23,72,395,55,76.4%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,5,6,14.3%,0,83%,41,0.9,36,6.0,7.5,0,0.0%,0.82,45,11.4%,0.29,0.80,3,8.6,-0.5,49
Alexander Mattison,MIN,RB,2019,1,25,27,37,65,237,16,24.6%,21.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,8,27,0,0.0%,2,0,25.0%,0,0,0,0,0.0%,0,-,5,0.0,0,-,-,0,-,0.00,0,0.0%,0.00,-,0,2.7,-2.0,60
Allen Lazard,GB,WR,2018,1,30,32,31,62,288,59,95.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-2,0,0.0%,-,-,-,-,0,6,8,26.7%,1,75%,32,4.6,146,18.3,13.3,1,16.7%,4.56,106,36.8%,0.66,1.38,50,26.4,11.3,6
Allen Robinson,CHI,WR,2014,1,49,51,30,82,560,64,78.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,10,13,26.5%,0,77%,45,2.7,123,9.5,8.2,1,10.0%,2.41,106,18.9%,0.53,1.16,60,28.3,8.7,4
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Alvin Kamara,NO,RB,2017,1,35,36,33,61,152,41,67.2%,60.6%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,58,0,0.0%,11,1,57.9%,0,0,13,14,40.0%,3,93%,31,4.5,139,9.9,-0.6,2,15.4%,3.86,-8,-5.3%,0.56,-17.38,141,44.7,22.6,1
Amari Cooper,DAL,WR,2015,1,56,57,28,82,454,65,79.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,9,12,21.4%,0,75%,53,1.6,86,7.2,9.8,0,0.0%,1.51,117,25.8%,0.50,0.74,21,17.6,-1.1,23
Andy Isabella,ARI,WR,2019,1,33,35,25,65,332,26,40.0%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-6,0,0.0%,-,-,-,-,0,4,4,12.1%,-,100%,#N/A,-,47,11.8,10.0,2,50.0%,1.34,40,12.0%,0.27,1.18,7,20.1,11.5,17
Anthony Firkser,TEN,TE,2017,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,0,-,-,0,-,-,-,0,0.0,0.0,-
Anthony McFarland,PIT,RB,2020,1,35,36,40,80,323,10,12.5%,20.0%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,6,42,0,0.0%,2,1,28.6%,0,0,1,2,5.7%,0,50%,3,2.3,7,3.5,-0.5,0,0.0%,0.19,-1,-0.3%,0.08,-7.00,10,5.9,0.3,45
Anthony Miller,CHI,WR,2018,1,49,51,30,82,560,47,57.3%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,9,0,0.0%,-,-,-,-,0,2,5,10.2%,2,40%,35,1.2,41,8.2,20.6,1,50.0%,0.80,103,18.4%,0.28,0.40,6,13.0,5.3,34
Antonio Gandy-Golden,WAS,WR,2020,1,36,37,27,65,243,19,29.2%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,22,0,0.0%,-,-,-,-,0,0,2,5.6%,0,0%,7,0.0,0,0.0,7.5,0,-,0.00,15,6.2%,0.13,0.00,-1,2.2,-1.7,88
Antonio Gibson,WAS,RB,2020,1,36,37,27,65,243,26,40.0%,44.4%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,9,49,1,11.1%,7,0,58.3%,1,1,3,3,8.3%,0,100%,42,0.3,11,3.7,-1.7,0,0.0%,0.30,-5,-2.1%,0.11,-2.20,16,13.0,4.5,24
Auden Tate,CIN,WR,2018,1,42,44,23,72,395,25,34.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,2,4,9.5%,-,50%,#N/A,-,29,7.3,13.3,0,0.0%,0.66,53,13.4%,0.24,0.55,2,4.9,-2.9,74
Austin Ekeler,LAC,RB,2017,1,48,49,33,78,296,56,71.8%,69.7%,0,0,0,0,0,-,-,-,-,-,-,-,-,-,12,59,1,8.3%,6,0,26.1%,0,0,11,11,22.9%,1,100%,37,2.3,84,7.6,-2.9,0,0.0%,1.71,-32,-10.8%,0.27,-2.63,116,31.3,10.8,3
Austin Hooper,CLE,TE,2016,1,22,23,39,63,189,54,85.7%,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,3,4,18.2%,0,75%,18,1.4,25,6.3,1.5,0,0.0%,1.09,6,3.2%,0.29,4.17,28,5.5,-0.1,24
Baker Mayfield,CLE,QB,2018,1,22,23,39,63,189,63,100.0%,-,16,23,156,2,0,69.6%,8.7%,6.8,8.5,189,90,8.2,117.3,8.80,1,1,0,0.0%,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,14.3,5.1,21
Ben Roethlisberger,PIT,QB,2004,1,35,36,40,80,323,80,100.0%,-,23,36,237,2,0,63.9%,5.6%,6.6,7.7,323,97,9.0,101.3,0.10,0,0,0,-,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,0,-,0.00,-,-,-,-,-,19.5,-3.4,12
