Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,
Aaron Rodgers,GB,QB,2005,1,34,34,30,62,233,60,96.8%,-,-,23,34,283,4,0,67.6%,11.8%,8.3,10.7,233,116,6.9,132.4,-2.50,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,0,0,0,0.00,27.3,10.8,8
Adam Humphries,TEN,WR,2015,1,30,31,23,0,247,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,3,10.0%,0,33%,0,-,19,19.0,6.3,13.3,0,0.0%,0.61,40,16.2%,0.26,0.48,0,1,19,0,-,2.9,-0.9,67
Adam Shaheen,MIA,TE,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,
Adam Thielen,MIN,WR,2013,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,
Adrian Peterson,DET,RB,2007,1,32,36,27,0,341,0,-,44.4%,8.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,11,29,0,0.0%,2.6,0,0,0.0%,0,0,1,1,3.1%,0,100%,0,-,1,1.0,1.0,0.0,0,0.0%,0.03,0,0.0%,0.05,-,1,12,30,0,-,4.0,-2.5,41
AJ Brown,TEN,WR,2019,1,30,31,23,0,247,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,6,8,26.7%,0,75%,0,-,153,25.5,19.1,11.3,1,16.7%,4.94,90,36.4%,0.66,1.70,96,6,153,1,-,27.3,14.8,5
AJ Dillon,GB,RB,2020,1,34,34,30,62,233,14,22.6%,16.7%,2.9,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,11,0,0.0%,2.2,0,0,0.0%,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,5,11,0,0.18,1.1,-1.1,51
AJ Green,CIN,WR,2011,1,47,48,21,0,349,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,7,13,27.7%,0,54%,0,-,82,11.7,6.3,5.6,0,0.0%,1.71,73,20.9%,0.56,1.12,76,7,82,0,-,15.2,-6.7,28
Alex Smith,WAS,QB,2005,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,0,0,0,-,0.0,0.0,
