Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Allen Lazard,GB,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Allen Robinson,CHI,WR,2014,1,41,41,27,70,326,68,97.1%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,6,7,17.1%,0,86%,0,-,87,14.5,12.4,12.7,1,16.7%,2.12,89,27.3%,0.45,0.98,14,6,87,1,1.24,20.7,10.9,12
Alshon Jeffrey,PHI,WR,2012,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Alvin Kamara,NO,RB,2017,1,41,41,35,74,190,58,78.4%,71.4%,27.6,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,12,67,0,0.0%,5.6,0,0,0.0%,0,0,9,13,31.7%,0,69%,0,-,96,10.7,7.4,0.0,0,0.0%,2.34,0,0.0%,0.48,-,92,21,163,0,2.20,25.3,2.4,2
Amari Cooper,DAL,WR,2015,1,38,40,33,79,0,59,74.7%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,1,5,13.2%,0,20%,0,-,5,5.0,1.0,0.0,0,0.0%,0.13,0,-,-,-,0,1,5,0,0.06,1.5,0.0,79
Andy Dalton,DAL,QB,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Andy Isabella,ARI,WR,2019,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Anthony Firkser,TEN,TE,2017,1,29,30,30,62,259,26,41.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,2,3,10.3%,0,67%,0,-,36,18.0,12.0,8.3,0,0.0%,1.20,25,9.7%,0.22,1.44,16,2,36,0,0.58,5.6,1.0,20
Anthony McFarland,PIT,RB,2020,1,32,32,21,53,232,1,1.9%,4.8%,0.6,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,1,1,0,0.0%,1.0,0,0,0.0%,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,1,1,0,0.02,0.1,-0.4,63
Anthony Miller,CHI,WR,2018,1,41,41,27,70,326,53,75.7%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,8,11,26.8%,0,73%,0,-,73,9.1,6.6,6.3,0,0.0%,1.78,69,21.2%,0.55,1.06,19,8,73,0,1.04,15.3,-1.4,24
Antonio Gandy-Golden,WAS,WR,2020,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Antonio Gibson,WAS,RB,2020,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Auden Tate,CIN,WR,2018,1,35,37,34,73,225,33,45.2%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,7,7,20.0%,0,100%,0,-,65,9.3,9.3,5.4,0,0.0%,1.76,38,16.9%,0.42,1.71,27,7,65,0,0.89,13.5,2.7,30
Austin Ekeler,LAC,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Austin Hooper,CLE,TE,2016,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Baker Mayfield,CLE,QB,2018,1,25,25,21,49,109,49,100.0%,-,-,12,25,122,0,0,48.0%,0.0%,4.9,4.9,109,48,4.4,62.4,-22.7,6,29,0,0.0%,4.8,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,6,29,0,0.59,7.8,-4.4,25
Ben DiNucci,DAL,QB,2020,1,38,40,33,79,0,79,100.0%,-,-,21,40,180,0,0,52.5%,0.0%,4.5,4.5,0,0,0.0,64.6,-11.3,4,13,0,0.0%,3.3,-,-,-,-,2,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,-,-,-,0,4,13,0,0.16,4.5,0.0,29
Ben Roethlisberger,PIT,QB,2004,1,32,32,21,53,232,53,100.0%,-,-,21,32,182,2,0,65.6%,6.3%,5.7,6.9,232,89,7.3,101.3,-2.6,0,0,0,-,-,-,-,-,-,0,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,0,0,0,0.00,15.3,2.7,17
Benny Snell,PIT,RB,2019,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Blake Jarwin,DAL,TE,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Boston Scott,PHI,RB,2018,1,26,28,26,63,0,41,65.1%,65.4%,11.9,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,15,70,0,0.0%,4.7,0,0,0.0%,0,0,2,2,7.7%,0,100%,0,-,9,4.5,4.5,0.0,0,0.0%,0.32,0,-,-,-,0,17,79,0,1.25,9.9,0.0,26
Brandin Cooks,HOU,WR,2014,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Brandon Aiyuk,SF,WR,2020,1,40,41,25,70,291,63,90.0%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,8,11,27.5%,0,73%,0,-,91,11.4,8.3,8.5,1,12.5%,2.22,94,32.3%,0.64,0.97,24,8,91,1,1.30,23.1,1.2,6
Breshad Perriman,NYJ,WR,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Brett Rypien,DEN,QB,2019,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Brian Hill,ATL,RB,2017,1,30,30,34,70,258,25,35.7%,41.2%,11.2,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,11,55,0,0.0%,5.0,0,0,0.0%,0,0,2,3,10.0%,0,67%,0,-,9,4.5,3.0,0.0,0,0.0%,0.30,0,0.0%,0.15,-,5,13,64,0,0.91,8.4,-0.2,31
Brian Hoyer,NE,QB,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Bryan Edwards,LV,WR,2020,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Calvin Ridley,ATL,WR,2018,1,30,30,34,70,258,23,32.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,3,4,13.3%,0,75%,0,-,42,14.0,10.5,13.5,0,0.0%,1.40,54,20.9%,0.35,0.78,11,3,42,0,0.60,7.2,1.0,53
Cam Akers,LAR,RB,2020,1,58,61,33,95,378,20,21.1%,30.3%,6.8,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,9,35,0,0.0%,3.9,0,0,0.0%,0,0,1,1,1.7%,0,100%,0,-,19,19.0,19.0,9.0,0,0.0%,0.31,9,2.4%,0.04,2.11,10,10,54,0,0.57,6.4,0.8,38
Cam Newton,NE,QB,2011,1,23,25,30,65,156,65,100.0%,-,-,15,25,174,0,0,60.0%,0.0%,7.0,7.0,156,95,6.2,81.1,-3.2,9,54,1,11.1%,6.0,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,9,54,1,0.83,16.4,3.6,15
Cameron Batson,TEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Carlos Hyde,SEA,RB,2014,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Carson Wentz,PHI,QB,2016,1,26,28,26,63,0,63,100.0%,-,-,15,27,123,2,2,55.6%,7.4%,4.6,2.7,0,0,0.0,61.2,-1.3,4,17,0,0.0%,4.3,-,-,-,-,2,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,-,-,-,0,4,17,0,0.27,6.6,0.0,27
Cedrick Wilson,DAL,WR,2018,1,38,40,33,79,0,19,24.1%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,2,-11,0,0.0%,-5.5,-,-,-,-,0,0,2,5.3%,-,0%,-,-,0,-,0.0,0.0,0,-,0.00,0,-,-,-,0,2,-11,0,-0.14,-1.1,0.0,97
CeeDee Lamb,DAL,WR,2020,1,38,40,33,79,0,37,46.8%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,1,19,0,0.0%,19.0,-,-,-,-,0,4,5,13.2%,0,80%,0,-,27,6.8,5.4,0.0,0,0.0%,0.68,0,-,-,-,0,5,46,0,0.58,8.6,0.0,45
Chase Claypool,PIT,WR,2020,1,32,32,21,53,232,41,77.4%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,1,5,9,28.1%,0,56%,0,-,42,8.4,4.7,10.6,1,20.0%,1.31,95,40.9%,0.71,0.44,7,5,42,1,0.79,13.2,-0.1,31
Chase Edmonds,ARI,RB,2018,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Carson,SEA,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Conley,JAC,WR,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Godwin,TB,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Herndon,NYJ,TE,2018,1,28,30,24,57,194,40,70.2%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,1,1,2,7.1%,0,50%,0,-,3,3.0,1.5,5.5,0,0.0%,0.10,11,5.7%,0.15,0.27,6,1,3,0,0.05,-0.7,-1.9,40
Chris Hogan,NYJ,WR,2011,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Thompson,JAC,RB,2013,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Christian Kirk,ARI,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Christian McCaffrey,CAR,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
CJ Beathard,SF,QB,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
CJ Board,NYG,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
CJ Uzomah,CIN,TE,2015,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Clyde Edwards-Helaire,KC,RB,2020,1,47,47,27,66,338,33,50.0%,33.3%,8.3,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,6,21,0,0.0%,3.5,0,0,0.0%,0,0,3,3,6.4%,0,100%,0,-,10,3.3,3.3,-0.7,0,0.0%,0.21,-2,-0.6%,0.09,-5.00,12,9,31,0,0.47,6.1,-1.8,40
Cole Beasley,BUF,WR,2012,1,18,18,30,58,179,36,62.1%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,2,2,11.1%,0,100%,0,-,24,12.0,12.0,3.5,0,0.0%,1.33,7,3.9%,0.19,3.43,17,2,24,0,0.41,4.4,1.7,65
Cole Kmet,CHI,TE,2020,1,41,41,27,70,326,30,42.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,1,1,2.4%,0,100%,0,-,2,2.0,2.0,2.0,0,0.0%,0.05,2,0.6%,0.04,1.00,0,1,2,0,0.03,1.2,-0.2,34
Collin Johnson,JAC,WR,2020,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Cooper Kupp,LAR,WR,2017,1,58,61,33,95,378,92,96.8%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,11,21,36.2%,0,52%,0,-,110,10.0,5.2,7.2,0,0.0%,1.80,152,40.2%,0.82,0.72,61,11,110,0,1.16,22.0,-8.5,8
Cordarrelle Patterson,CHI,WR,2013,1,41,41,27,70,326,10,14.3%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,1,4,0,0.0%,4.0,-,-,-,-,0,2,2,4.9%,0,100%,0,-,1,0.5,0.5,-5.0,0,0.0%,0.02,-10,-3.1%,0.05,-0.10,11,3,5,0,0.07,2.5,-1.3,74
Corey Clement,PHI,RB,2017,1,26,28,26,63,0,20,31.7%,26.9%,6.1,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,5,24,0,0.0%,4.8,0,0,0.0%,0,0,1,2,7.7%,0,50%,0,-,4,4.0,2.0,0.0,0,0.0%,0.14,0,-,-,-,0,6,28,0,0.44,3.8,0.0,50
Corey Davis,TEN,WR,2017,1,29,30,30,62,259,49,79.0%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,8,10,34.5%,0,80%,0,-,128,16.0,12.8,11.0,1,12.5%,4.27,110,42.5%,0.81,1.16,24,8,128,1,2.06,26.8,10.0,4
Courtland Sutton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Curtis Samuel,CAR,WR,2017,1,26,27,17,54,221,41,75.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,3,23,1,33.3%,7.7,-,-,-,-,0,4,5,19.2%,0,80%,0,-,31,7.8,6.2,11.4,1,25.0%,1.15,57,25.8%,0.47,0.54,7,7,54,2,1.00,21.4,9.4,10
D'Andre Swift,DET,RB,2020,1,40,42,19,61,398,38,62.3%,52.6%,9.8,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,6,1,0,0.0%,0.2,0,0,0.0%,0,0,3,4,10.0%,0,75%,0,-,22,7.3,5.5,2.8,0,0.0%,0.52,11,2.8%,0.17,2.00,17,9,23,0,0.38,5.3,-2.8,43
D'Ernest Johnson,CLE,RB,2018,1,25,25,21,49,109,6,12.2%,14.3%,2.8,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,2,6,0,0.0%,3.0,0,0,0.0%,0,0,1,1,4.0%,0,100%,0,-,5,5.0,5.0,5.0,0,0.0%,0.20,5,4.6%,0.09,1.00,0,3,11,0,0.22,2.1,-0.1,56
DaeSean Hamilton,DEN,WR,2018,1,38,41,24,65,309,61,93.8%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,4,5,13.2%,0,80%,0,-,82,20.5,16.4,11.2,1,25.0%,2.00,56,18.1%,0.32,1.46,44,4,82,1,1.26,18.2,9.5,17
Dak Prescott,DAL,QB,2016,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Dallas Goedert,PHI,TE,2018,1,26,28,26,63,0,53,84.1%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,1,1,3.8%,0,100%,0,-,15,15.0,15.0,0.0,0,0.0%,0.54,0,-,-,-,0,1,15,0,0.24,2.5,0.0,30
Dalton Schultz,DAL,TE,2018,1,38,40,33,79,0,75,94.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,6,8,21.1%,0,75%,0,-,53,8.8,6.6,0.0,0,0.0%,1.33,0,-,-,-,0,6,53,0,0.67,11.3,0.0,9
Dalvin Cook,MIN,RB,2017,1,14,14,37,52,25,46,88.5%,89.2%,22.2,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,30,163,3,10.0%,5.4,0,0,0.0%,0,0,2,3,21.4%,0,67%,0,-,63,31.5,21.0,-4.3,1,50.0%,4.50,-13,-52.0%,-0.04,-4.85,71,32,226,4,4.35,48.6,19.3,1
Damien Harris,NE,RB,2019,1,23,25,30,65,156,20,30.8%,53.3%,9.3,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,16,102,1,6.3%,6.4,0,0,0.0%,-,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,16,102,1,1.57,16.2,6.7,9
Damiere Byrd,NE,WR,2016,1,23,25,30,65,156,65,100.0%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,3,4,17.4%,0,75%,0,-,39,13.0,9.8,10.3,0,0.0%,1.56,41,26.3%,0.44,0.95,10,3,39,0,0.60,6.9,0.4,54
Dan Arnold,ARI,TE,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
