Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Aaron Jones,GB,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Aaron Rodgers,GB,QB,2005,1,39,41,30,75,311,75,100.0%,-,-,27,41,291,3,0,65.9%,7.3%,7.1,8.6,311,161,7.6,110.9,4.1,2,9,0,0.0%,4.5,-,-,-,-,1,0,0,0.0%,-,-,-,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,2,9,0,0.12,22.5,5.1,3
Adam Humphries,TEN,WR,2015,1,29,30,30,62,259,12,19.4%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,2,6.9%,0,0%,0,-,0,-,0.0,20.5,0,-,0.00,41,15.8%,0.21,0.00,0,0,0,0,0.00,0.0,-3.6,81
Adam Shaheen,MIA,TE,2017,1,22,22,30,49,118,16,32.7%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,0,1,4.5%,0,0%,0,-,0,-,0.0,-2.0,0,-,0.00,-2,-1.7%,0.06,0.00,0,0,0,0,0.00,0.0,-1.6,35
Adam Thielen,MIN,WR,2013,1,14,14,37,52,25,47,90.4%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,3,4,28.6%,0,75%,0,-,27,9.0,6.8,2.0,0,0.0%,1.93,8,32.0%,0.65,3.38,15,3,27,0,0.52,5.7,-0.3,59
Adrian Peterson,DET,RB,2007,1,40,42,19,61,398,12,19.7%,31.6%,4.5,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,5,7,0,0.0%,1.4,0,0,0.0%,0,0,1,1,2.5%,0,100%,0,-,5,5.0,5.0,0.0,0,0.0%,0.12,0,0.0%,0.04,-,5,6,12,0,0.20,2.2,-1.7,55
AJ Brown,TEN,WR,2019,1,29,30,30,62,259,59,95.2%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,4,7,24.1%,0,57%,0,-,24,6.0,3.4,3.4,1,25.0%,0.80,24,9.3%,0.43,1.00,19,4,24,1,0.39,12.4,-1.1,34
AJ Dillon,GB,RB,2020,1,39,41,30,75,311,10,13.3%,20.0%,4.5,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,5,21,0,0.0%,4.2,0,0,0.0%,0,0,1,1,2.6%,0,100%,0,-,16,16.0,16.0,1.0,0,0.0%,0.39,1,0.3%,0.04,16.00,15,6,37,0,0.49,4.7,0.9,47
AJ Green,CIN,WR,2011,1,35,37,34,73,225,62,84.9%,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,0,0,0,-,-,-,-,-,-,0,2,5,14.3%,0,40%,0,-,19,9.5,3.8,8.2,0,0.0%,0.51,41,18.2%,0.34,0.46,7,2,19,0,0.26,3.9,-4.5,68
Alex Smith,WAS,QB,2005,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Alexander Mattison,MIN,RB,2019,1,14,14,37,52,25,5,9.6%,8.1%,1.7,0,0,0,0,0,-,-,-,-,0,0,-,0.0,0.00,3,8,0,0.0%,2.7,0,0,0.0%,0,0,0,0,0.0%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.0%,0.00,-,0,3,8,0,0.15,0.8,-0.5,60
